gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
MSH3	MSH3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.0985311727792718e-16	6	12	1.0	0.5	0.5	0.0017167440604175456	0.5334394904458599	0.22121449766951592	7	3	4.821731052710001e-16	0.013191158405414228	True	True	True	1.0	0.22121449766951592
MBNL2	MBNL2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.0014770268799346e-20	6	12	1.0	0.5	0.5	0.009879767867540601	0.8813131313131313	0.21657487378927742	7	2	4.993571658166846e-20	0.03418661397874148	True	True	True	1.0	0.21657487378927742
DDX10	DDX10	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	4.8423254348586514e-17	6	12	1.0	0.5	0.5	0.009879767867540601	0.5685425685425686	0.21648373312646457	7	3	1.2142201003709152e-16	0.03418661397874148	True	True	True	1.0	0.21648373312646457
HSPH1	HSPH1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	3.554289580921912e-13	6	12	1.0	0.5	0.5	0.009879767867540601	0.551270815074496	0.21622568554597316	7	3	5.660245301776525e-13	0.03418661397874148	True	True	True	1.0	0.21622568554597316
RBFOX1	RBFOX1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	1.0	0.5	0.5	1.923611735603826e-08	6	12	1.0	0.5	0.5	0.0017167440604175456	0.9433898033561616	0.2139862949440033	6	3	2.276221415452645e-08	0.013191158405414228	True	True	True	1.0	0.2139862949440033
TPST1	TPST1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	5.611180888788661e-21	6	12	1.0	0.5	0.5	0.009879767867540601	0.6161473087818697	0.21361387422209027	7	3	2.918621426326764e-20	0.03418661397874148	True	True	True	1.0	0.21361387422209027
Neurod2	NEUROD2	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	marker_panel	True	True	73	88	1.0	0.5	0.5	3.7846354748339355e-08	6	12	1.0	0.5	0.5	0.00021486327043911477	0.21233689205219455	0.5109794047742044	7	3	4.4133733037176376e-08	0.003140309337187062	True	True	True	1.0	0.21233689205219455
CAMK4	CAMK4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.196372084086751e-10	6	12	1.0	0.5	0.5	0.009879767867540601	0.6792929292929293	0.2117776550283701	7	3	7.915153739920002e-10	0.03418661397874148	True	True	True	1.0	0.2117776550283701
RNGTT	RNGTT	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	4.8423254348586514e-17	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6336134453781512	0.2100041245529508	7	3	1.2142201003709152e-16	0.013191158405414228	True	True	True	1.0	0.2100041245529508
SSH2	SSH2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.3114351914081648e-09	6	12	1.0	0.5	0.5	0.0017167440604175456	0.8334568816407215	0.2077000915736238	7	3	1.6499436949908987e-09	0.013191158405414228	True	True	True	1.0	0.2077000915736238
GRIK2	GRIK2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.384278532331745e-12	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9036482694106641	0.20663796576193635	7	3	9.158399561261611e-12	0.003140309337187062	True	True	True	1.0	0.20663796576193635
PITPNC1	PITPNC1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.0160966132596736e-25	6	12	1.0	0.5	0.5	0.00021486327043911477	0.41035353535353536	0.2056104854081967	7	3	3.123509681543023e-24	0.003140309337187062	True	True	True	1.0	0.2056104854081967
SMG1	SMG1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.0808023355515028e-19	6	12	1.0	0.5	0.5	0.009879767867540601	0.7127856701667696	0.204493679069176	7	3	4.365475355328137e-19	0.03418661397874148	True	True	True	1.0	0.204493679069176
AMPH	AMPH	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.3023184867736652e-08	6	12	1.0	0.5	0.5	0.00021486327043911477	0.593103448275862	0.20230665089506006	7	3	2.708095877338438e-08	0.003140309337187062	True	True	True	1.0	0.20230665089506006
SETX	SETX	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.4578769016883846e-18	6	12	1.0	0.5	0.5	0.009879767867540601	0.545068928950159	0.20184691283622852	7	3	4.6570471277792435e-18	0.03418661397874148	True	True	True	1.0	0.20184691283622852
FKBP5	FKBP5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	5.9036514667012995e-25	6	12	1.0	0.5	0.5	0.009879767867540601	0.6773109243697479	0.19765580858651688	7	3	8.424355283733631e-24	0.03418661397874148	True	True	True	1.0	0.19765580858651688
TTC39C	TTC39C	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	7.892108440208418e-14	6	12	1.0	0.5	0.5	0.009879767867540601	0.6919191919191919	0.19656391904049358	7	2	1.3342153707569805e-13	0.03418661397874148	True	True	True	1.0	0.19656391904049358
HOMER1	HOMER1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.3117185886679792e-07	6	12	1.0	0.5	0.5	0.0017167440604175456	0.5087001023541453	0.19492920407881956	7	3	1.456047911371979e-07	0.013191158405414228	True	True	True	1.0	0.19492920407881956
GRIN2B	GRIN2B	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.5465110373514467e-11	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9047619047619048	0.1942309241739206	7	3	3.52032022945525e-11	0.003140309337187062	True	True	True	1.0	0.1942309241739206
CEP112	CEP112	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	1.0	0.5	0.5	4.9645984156679997e-26	6	12	1.0	0.5	0.5	0.0017167440604175456	0.7664617250506821	0.18857938854246867	5	3	8.614571170867114e-25	0.013191158405414228	True	True	True	1.0	0.18857938854246867
MAP3K4	MAP3K4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	9.425873121451998e-26	6	12	1.0	0.5	0.5	0.009879767867540601	0.6295986622073578	0.1883686538249886	7	2	1.525725283614133e-24	0.03418661397874148	True	True	True	1.0	0.1883686538249886
