canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	screen	branch_tested	formal_model_n_units	formal_model_n_datasets	formal_model_method	formal_model_estimate	formal_model_se	formal_model_z_greater	formal_model_p_greater	formal_model_converged	formal_model_message	dataset_best_nominal_p_greater	dataset_best_q_bh_greater	branch_replication_support	branch_nominal_support	branch_fdr10_support	formal_model_q_bh_greater	formal_model_nominal_support	formal_model_fdr10_support
BCL7A	BCL7A	BCL7A	Bcl7a	51617213	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
CACNA2D1	CACNA2D1	CACNA2D1	Cacna2d1	51625279	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
CADM3	CADM3	CADM3	Cadm3	51628789	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
DCC	DCC	DCC	Dcc	51626817	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
GABRA2	GABRA2	GABRA2	Gabra2	51626368	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
GPM6A	GPM6A	GPM6A	Gpm6a	51618252	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
GRIN2B	GRIN2B	GRIN2B	Grin2b	51621524	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
KCNJ3	KCNJ3	KCNJ3	Kcnj3	51625694	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
KCNJ6	KCNJ6	KCNJ6	Kcnj6	51631421	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
KCNK1	KCNK1	KCNK1	Kcnk1	51622575	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
KCNMB4	KCNMB4	KCNMB4	Kcnmb4	51633330	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
MAP1B	MAP1B	MAP1B	Map1b	51630358	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
MAP3K13	MAP3K13	MAP3K13	Map3k13	51625425	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
NFIA	NFIA	NFIA	Nfia	51625494	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
