gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
ZYG11B	ZYG11B	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.625527884871116e-16	6	12	0.6666666666666666	0.5	0.16666666666666663	0.12700887922326776	0.5050505050505051	0.19805954376895313	7	3	5.822873192520911e-16	0.23428822380991143	True	False	False	0.6666666666666666	0.19805954376895313
ZZEF1	ZZEF1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.1524338285766923e-09	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.4326923076923077	0.1292823224638227	7	2	2.6754320768956134e-09	0.44652159914500644	True	False	False	0.6666666666666666	0.1292823224638227
ZZZ3	ZZZ3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	6	12	0.8333333333333333	0.5	0.33333333333333326	0.04130279887374222	0.0	0.2758203960211955	4	3	1.0376091489284265e-07	0.10540030481821885	False	False	False	0.33333333333333326	0.0
SNHG5	SNHG5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	71	87	1.0	0.5	0.5	1.4220206585381016e-21	2	4	0.6666666666666666	0.6666666666666666	0.0	0.5956337293114212	0.47875354107648727	0.0688176816383907	4	1	8.88865362642404e-21	0.7651349073514876	False	False	False	0.5	0.0688176816383907
MIR99AHG	MIR99AHG	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	70	86	1.0	0.5	0.5	1.373378517044432e-27	2	4	0.6666666666666666	0.6666666666666666	0.0	0.5956337293114212	0.9344995450409463	0.8486743677608568	4	1	4.5828584668759586e-26	0.7651349073514876	False	False	False	0.5	0.8486743677608568
SNHG14	SNHG14	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	70	86	1.0	0.5	0.5	6.663797560678447e-13	2	4	0.6666666666666666	0.6666666666666666	0.0	0.5956337293114212	0.9828283408567767	0.8668204240586459	3	1	1.0380442664574929e-12	0.7651349073514876	False	False	False	0.5	0.8668204240586459
ODZ4	ODZ4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	70	86	0.6666666666666666	0.6666666666666666	0.0	3.6553728941219435e-08	0	0					0.0		1	0	4.26722486940285e-08		False	False	False	0.0	0.0
SUPT3H	SUPT3H	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	70	86	1.0	0.5	0.5	7.029585646984694e-10	1	2	1.0	0.5	0.5	0.3333333333333333	0.7614900689959454	0.06279923396105969	4	1	8.968924275476355e-10	0.4804597701149425	False	False	False	1.0	0.06279923396105969
AC007246.3	AC007246.3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.762216639670279e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.03634695180338334	0	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0
AC007563.5	AC007563.5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.762216639670279e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0011570379827641239	0	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0
