sample	group	cell_type	source_anchor_label	n_cells	median_counts	median_dentate_identity	median_human_dg_immature	median_human_dg_mature	median_cerebellar_identity	median_shared_granule_neuronal	median_morphogenesis_cytoskeleton	median_axon_guidance_synapse	median_background_max
S2R6	MAD	MatN_SGCZ_NTF3	adult_dg_background_warning	1	6379.0	0.80501163	0.32972342	1.4997602	0.0	0.7560856	0.4968462	0.81039274	1.5734153
S2R6	MAD	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1948	11249.0	0.2698347	0.24588288	1.6461554	0.059107848	0.90694773	0.51489484	0.93086255	0.26406386
S3R2	RES	DiffN	adult_dg_background_warning	1	4256.0	0.15110601	0.36982155	1.0675157	0.0	0.7022981	0.4233244	0.32964808	1.1496838
S3R2	RES	DiffN	adult_human_dg_differentiating_anchor	65	2829.0	0.12348281	0.19780226	1.5020478	0.0	0.7785498	0.5426438	0.6899192	0.3434928
S3R2	RES	DiffN_OTOF	adult_human_dg_differentiating_anchor	9	6511.0	0.3089484	0.3759697	1.5425906	0.0	0.8103309	0.52691674	0.7195302	0.4186083
S3R2	RES	MatN_OTOF	adult_human_dg_mature_anchor	10	41364.0	0.30019614	0.4060216	1.6942048	0.056680273	0.8931385	0.6613009	0.8323332	0.2744661
S3R2	RES	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	156	9123.0	0.19043046	0.23174423	1.7422835	0.0	0.87273765	0.60243154	1.0305753	0.28277317
S3R2	RES	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	230	13360.0	0.21223158	0.27943632	1.7320538	0.060862448	0.8871106	0.60179627	1.0007484	0.30273622
S3R4	RES	DiffN	adult_dg_background_warning	6	1684.0	0.119381025	0.17220584	1.0205468	0.0	0.75260127	0.34836674	0.5650594	1.1905208
S3R4	RES	DiffN	adult_human_dg_differentiating_anchor	740	4886.0	0.2953486	0.31552714	1.7764428	0.0	1.0652366	0.600906	0.7464658	0.36894098
S3R4	RES	DiffN_OTOF	adult_dg_background_warning	2	1834.0	0.0	0.2143803	1.4288368	0.08349542	0.7385269	0.57309747	0.5546029	2.038093
S3R4	RES	DiffN_OTOF	adult_human_dg_differentiating_anchor	53	5352.0	0.34742907	0.42033747	1.7841632	0.0	1.10138	0.63583255	0.5930637	0.41630536
S3R4	RES	MatN_OTOF	adult_human_dg_mature_anchor	46	20308.5	0.50715363	0.5536779	1.925487	0.0	1.1179304	0.7029903	0.69703066	0.315853
S3R4	RES	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	1070	11610.0	0.29739118	0.3012516	1.8212892	0.0	1.0681894	0.6332642	0.9260469	0.32022363
S3R4	RES	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1793	13772.0	0.37545726	0.35428205	1.8724071	0.0521367	1.0828279	0.6438478	0.8969448	0.325214
S3R5	RES	DiffN	adult_dg_background_warning	4	1442.0	0.26180086	0.21774328	1.1622427	0.0	0.71061504	0.52180916	0.44800305	1.5132504
S3R5	RES	DiffN	adult_human_dg_differentiating_anchor	119	4072.0	0.266463	0.25109816	1.4175775	0.0	0.81846184	0.49462938	0.65575737	0.379878
S3R5	RES	DiffN_OTOF	adult_dg_background_warning	1	1376.0	0.26404065	0.19202957	0.21123253	0.0	0.3249731	0.5806449	0.14082168	1.5256342
S3R5	RES	DiffN_OTOF	adult_human_dg_differentiating_anchor	11	2646.0	0.46390325	0.42623445	1.4769199	0.0	0.81447965	0.5170053	0.32394555	0.40118423
S3R5	RES	MatN_OTOF	adult_human_dg_mature_anchor	10	56702.5	0.34990388	0.36609685	1.7203228	0.0	0.88775706	0.54784155	0.8670703	0.24351366
S3R5	RES	MatN_SGCZ_CHRM3	adult_dg_background_warning	1	5209.0	0.13393743	0.1948181	0.7696999	0.0	0.511313	0.8561103	0.88960516	1.0610597
S3R5	RES	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	429	30921.0	0.24361053	0.24076109	1.6989413	0.043084826	0.9149887	0.5967579	1.0730292	0.2452574
S3R5	RES	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	277	36244.0	0.3086688	0.28834715	1.7543908	0.09024401	0.92114437	0.62233496	1.0137601	0.26310876
S4R2	CTRL	DiffN	adult_dg_background_warning	1	4149.0	0.46004122	0.38317534	1.2687316	0.11152515	0.9602421	0.62913096	0.7655191	1.4228462
S4R2	CTRL	DiffN	adult_human_dg_differentiating_anchor	50	5630.0	0.25262454	0.30891213	1.4397167	0.0	0.8197936	0.5969902	0.54252386	0.42299908
S4R2	CTRL	DiffN_OTOF	adult_dg_background_warning	1	10026.0	0.0	0.25164065	1.1001335	0.0	0.76342267	0.6233689	0.62475216	1.1311536
S4R2	CTRL	DiffN_OTOF	adult_human_dg_differentiating_anchor	5	10862.0	0.16425203	0.42070997	1.4257445	0.0	0.7164871	0.56051934	0.6155805	0.32674262
S4R2	CTRL	MatN_OTOF	adult_human_dg_mature_anchor	28	41227.0	0.34274	0.3034221	1.6109306	0.017581563	0.7744194	0.4657762	0.82954	0.23484708
S4R2	CTRL	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	57	33276.0	0.3043012	0.2670979	1.6282574	0.052242935	0.81665474	0.5102214	0.9913355	0.26263282
S4R2	CTRL	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	210	38811.5	0.33260617	0.29026252	1.6621747	0.066041455	0.80049276	0.5427711	0.94374216	0.26777795
S4R4	CTRL	DiffN	adult_dg_background_warning	15	1544.0	0.23410228	0.18288994	0.95377874	0.0	0.7822849	0.34186974	0.39101058	1.3100233
S4R4	CTRL	DiffN	adult_human_dg_differentiating_anchor	359	2777.0	0.21379693	0.22734322	1.5042642	0.0	0.8724977	0.43921036	0.67224836	0.35465038
S4R4	CTRL	DiffN_OTOF	adult_dg_background_warning	2	2654.5	0.201451	0.24930993	1.073309	0.061466336	0.91629505	0.4139279	0.45548266	1.5917256
S4R4	CTRL	DiffN_OTOF	adult_human_dg_differentiating_anchor	29	2556.0	0.23900746	0.36178797	1.343919	0.0	0.77123904	0.37370032	0.4523601	0.33754733
S4R4	CTRL	MatN_OTOF	adult_human_dg_mature_anchor	33	32494.0	0.44199392	0.44022822	1.8048942	0.0	0.90440196	0.52821124	0.9354318	0.22535722
S4R4	CTRL	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	1217	12590.0	0.24943995	0.2606086	1.710549	0.0	0.90472114	0.55652577	1.091659	0.25966284
S4R4	CTRL	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1190	17571.5	0.29741073	0.2910244	1.7487171	0.04788325	0.9167818	0.5721284	1.0330551	0.2621842
S4R5	CTRL	DiffN	adult_dg_background_warning	1	1206.0	0.0	0.0	0.8349417	0.0	0.59319866	0.6635909	0.45292744	1.8046104
S4R5	CTRL	DiffN	adult_human_dg_differentiating_anchor	75	2159.0	0.08611552	0.16928884	1.2240068	0.0	0.6990843	0.34131116	0.59499717	0.3581021
S4R5	CTRL	DiffN_OTOF	adult_human_dg_differentiating_anchor	16	2946.5	0.2613725	0.3764831	1.3686262	0.0	0.7004003	0.40189293	0.40623635	0.3983981
S4R5	CTRL	MatN_OTOF	adult_human_dg_mature_anchor	8	23422.0	0.33390215	0.31605807	1.713979	0.0	0.9027833	0.60227364	0.911976	0.26255277
S4R5	CTRL	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	187	11045.0	0.18512672	0.24596667	1.6739208	0.0	0.87038285	0.53506166	1.0558901	0.26685295
