gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection	mechanism_class	manuscript_use	mechanism_priority_score
DOCK5	DOCK5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.6666666666666666	0.6666666666666666	0.0	0.0208620170976409	6	12	1.0	0.6666666666666666	0.3333333333333333	0.0413027988737422	0.4310685643284762	0.0167464035735327	3	1	0.0215783095301779	0.1054003048182188	False	False	False	0.3333333333333333	0.0167464035735327	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.3375199342267165
FAM19A5	FAM19A5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	1.196491635281574e-07	4	8	0.8333333333333333	0.5	0.3333333333333332	0.0890896973601723	0.0	0.1570857227195985	5	2	1.3301847037036054e-07	0.2240643411344888	False	False	False	0.3333333333333332	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.3333333333333332
MGEA5	MGEA5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	2.469495812877339e-09	4	8	0.8333333333333333	0.5	0.3333333333333332	0.0890896973601723	0.0	0.3913672261147385	4	2	3.052043543094558e-09	0.2240643411344888	False	False	False	0.3333333333333332	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.3333333333333332
MKL1	MKL1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	2.469495812877339e-09	4	8	0.8333333333333333	0.5	0.3333333333333332	0.0890896973601723	0.0	0.0595251050665373	4	1	3.052043543094558e-09	0.2240643411344888	False	False	False	0.3333333333333332	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.3333333333333332
SEPW1	SEPW1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	0.8333333333333333	0.5	0.3333333333333332	0.0890896973601723	0.0	0.9917293146777492	4	2	1.0376091489284265e-07	0.2240643411344888	False	False	False	0.3333333333333332	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.3333333333333332
WBSCR17	WBSCR17	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	2.469495812877339e-09	4	8	0.8333333333333333	0.5	0.3333333333333332	0.0890896973601723	0.0	0.1051879622837645	4	1	3.052043543094558e-09	0.2240643411344888	False	False	False	0.3333333333333332	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.3333333333333332
ZZZ3	ZZZ3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	6	12	0.8333333333333333	0.5	0.3333333333333332	0.0413027988737422	0.0	0.2758203960211955	4	3	1.0376091489284265e-07	0.1054003048182188	False	False	False	0.3333333333333332	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.3333333333333332
SERPINI1	SERPINI1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.0026644394881849	6	12	0.8333333333333333	0.6666666666666666	0.1666666666666666	0.1270088792232677	0.3911098686049762	0.3938038193585044	7	2	0.0027744451511632	0.2342882238099114	False	False	False	0.1666666666666666	0.3911098686049762	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.26444413381791065
PDGFRA	PDGFRA	expanded_marker_panel	expanded_selected_gene	marker_panel	marker_panel	False	True	72	88	0.5833333333333333	0.6666666666666666	-0.0833333333333333	0.9990387336879992	6	12	1.0	0.6666666666666666	0.3333333333333333	0.0413027988737422	0.0385279351222955	0.2322721721366532	2	2	0.9999528909749756	0.1054003048182188	False	False	False	0.25	0.0385279351222955	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.2596319837805739
Barhl1	BARHL1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	marker_panel	True	True	72	87	0.6666666666666666	0.6666666666666666	0.0	5.455821577690246e-07	6	12	1.0	0.5	0.5	0.0002148632704391	0.0	0.7446132076641081	0	3	5.97358758304399e-07	0.003140309337187	False	False	False	0.5	0.0	regional_identity_or_specificity_warning	branch_specific_cerebellar_context	0.25
