dataset	sample	branch	source_group	module_id	module_label	n_present_genes	present_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE104323	10X_all_cells	dentate	nIPC-perin	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	468	1.0063379226837872	1.027440668465845	0.9166666666666666	True	3.0	progenitor	early/progenitor	nIPC-perin
GSE104323	10X_all_cells	dentate	nIPC	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	353	1.434143074369798	1.4295716241433913	1.0	True	2.0	progenitor	early/progenitor	nIPC
GSE104323	10X_all_cells	dentate	Neuroblast	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	1381	1.170532806781055	1.1824895784697924	0.9583333333333334	True	4.0	immature	postmitotic/immature	Neuroblast
GSE104323	10X_all_cells	dentate	Immature-GC	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	2419	0.9222198635284841	0.9281733726713751	0.875	True	5.0	immature	postmitotic/immature	Immature-GC
GSE104323	10X_all_cells	dentate	Immature-Pyr	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	4520	0.6931471805599453	0.7345945849984538	0.8333333333333334	False		other	other	Immature-Pyr
GSE104323	10X_all_cells	dentate	Cajal-Retzius	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	535	0.40235947810852507	0.4869511854554829	0.5833333333333334	False		other	other	Cajal-Retzius
GSE104323	10X_all_cells	dentate	Immature-GABA	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	1024	0.34657359027997264	0.38419457745910296	0.4791666666666667	False		other	other	Immature-GABA
GSE104323	10X_all_cells	dentate	GABA	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	209	0.17328679513998632	0.26981497381420816	0.16666666666666666	False		other	other	GABA
GSE104323	10X_all_cells	dentate	CA3-Pyr	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	532	0.44793986730701374	0.4592324259450285	0.6666666666666666	False		other	other	CA3-Pyr
GSE104323	10X_all_cells	dentate	GC-juv	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	3420	0.44793986730701374	0.46190538093799854	0.6666666666666666	True	6.0	mature	maturing/mature	GC-juv
