dataset	sample	group	panel	panel_gene_count	genes_found	coverage_fraction	mean_detection_fraction_found_genes	mean_expression_found_genes	found_genes	missing_genes
GSE104323	10X_all_cells	OPC	metabolic_proteomic_validation	8	7	0.875	0.538863	1.37208	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	OPC	morphogenesis_cytoskeleton	13	12	0.923077	0.382242	0.876469	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	OPC	shared_granule_neuronal	12	12	1	0.121117	0.191646	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	PVM	axon_guidance_synapse	15	15	1	0.0894515	0.153586	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	PVM	cerebellar_identity	12	12	1	0.0337552	0.0390295	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	PVM	dentate_identity	12	12	1	0.0189873	0.0263713	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	PVM	metabolic_proteomic_validation	8	7	0.875	0.566004	1.48101	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	PVM	morphogenesis_cytoskeleton	13	12	0.923077	0.167722	0.383966	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	PVM	shared_granule_neuronal	12	12	1	0.0537975	0.0949368	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	RGL	axon_guidance_synapse	15	15	1	0.0596315	0.0663317	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
