gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity
AK2	AK2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.17611890508325562	0.3495591092628115	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.17611890508325562	cerebellar_biased
AKAP8	AKAP8	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.15746982066394216	0.35239720216436343	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.15746982066394216	cerebellar_biased
AKIRIN1	AKIRIN1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.28172975962888447	0.3235266771569787	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.28172975962888447	cerebellar_biased
AKIRIN2	AKIRIN2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.19962913845274824	0.4901397032484305	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.19962913845274824	cerebellar_biased
AKT1S1	AKT1S1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.0	0.2855447336372285	4	2	0.20418218837049995	0.01922337276925927	True	False	1.0	0.0	cerebellar_biased
AKT3	AKT3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9594736707391986	0.15949090621557308	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.15949090621557308	cerebellar_biased
AKTIP	AKTIP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1730055412012756	0.30790657611112315	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1730055412012756	cerebellar_biased
ALAS1	ALAS1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.06851412948034216	0.13200885345166857	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.06851412948034216	cerebellar_biased
ALDH16A1	ALDH16A1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.004611059573878618	0.08420540503689196	1	3	0.20418218837049995	0.01922337276925927	False	False	1.0	0.004611059573878618	cerebellar_biased
ALG14	ALG14	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.21541741726920516	0.15005496051295392	3	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.15005496051295392	cerebellar_biased
ALG2	ALG2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.09384366912038757	0.30020801518322304	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.09384366912038757	cerebellar_biased
ALG3	ALG3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.05701961109062874	0.14400571430342207	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.05701961109062874	cerebellar_biased
ALG5	ALG5	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.20639931765558855	0.3045936551482709	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.20639931765558855	cerebellar_biased
ALG6	ALG6	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.17538568196680843	0.13460027777254074	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.13460027777254074	cerebellar_biased
