sample_accession	donor_id	marker_call	marker_confidence	feature_type	model_term_supported	target_set	peak_category	n_barcodes	n_features	n_linked_gene_strings	mean_count	mean_detection_fraction	mean_feature_score	median_feature_score
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_neurite_morphology	proximal_10kb	4609	36	17	0.14842337455702612	0.0673561389551843	0.1947263668709073	0.1472315937785336
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_neurite_synapse_construction	distal_100kb	4609	319	20	0.13891860752201465	0.06446566653358463	0.18690499047179165	0.12887454174327329
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_neurite_synapse_construction	gene_body_overlap	4609	147	19	0.12702299405333842	0.05813529577593676	0.16757351281147564	0.07645859110819905
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_neurite_synapse_construction	gene_edge_2kb	4609	15	12	0.3683517755116801	0.16156794677081074	0.4604763392674469	0.4141877033359886
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_neurite_synapse_construction	proximal_10kb	4609	42	14	0.15554453501947535	0.07183667565529141	0.20747339542573862	0.15609400506471066
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_synaptic_excitability	distal_100kb	4609	301	20	0.1381429804030681	0.0640635936190135	0.18547150975910326	0.12783341361760459
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_synaptic_excitability	gene_body_overlap	4609	98	18	0.2010994460704655	0.08713431130751281	0.2503381406157801	0.10547170157761984
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_synaptic_excitability	gene_edge_2kb	4609	15	11	0.2801330729731684	0.12650611123164823	0.3591791444380952	0.34060815820240076
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	downstream_synaptic_excitability	proximal_10kb	4609	33	13	0.17152869550352737	0.07946244830601523	0.22942556789722404	0.15473602739508593
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	hindbrain_rhombic_lip_pattern	distal_100kb	4609	6	1	0.2509582700513488	0.10421638822593476	0.3074041768590341	0.12911518568962876
