dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE104323	10X_all_cells	NFOL	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	232	8	7	5.24569	0.655711	22.7069	2.83836	0.960854	1.09812	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	232	13	12	3.86638	0.297414	15.1595	1.16611	0.407185	0.441117	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	mouse	dentate_gyrus	10x	shared_granule_neuronal	232	12	12	1.24569	0.103807	1.72845	0.144037	0.0861145	0.0861145	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	mouse	dentate_gyrus	10x	axon_guidance_synapse	1381	15	15	2.40261	0.160174	4.16437	0.277625	0.148473	0.148473	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	mouse	dentate_gyrus	10x	cerebellar_identity	1381	12	12	0.447502	0.0372918	0.656046	0.0546705	0.0318432	0.0318432	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	mouse	dentate_gyrus	10x	dentate_identity	1381	12	12	3.91238	0.326032	10.5894	0.882452	0.381013	0.381013	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	1381	8	7	4.8139	0.601738	16.0333	2.00416	0.785004	0.897147	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	1381	13	12	6.29399	0.484153	15.8986	1.22297	0.547216	0.592818	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	mouse	dentate_gyrus	10x	shared_granule_neuronal	1381	12	12	4.60319	0.383599	12.819	1.06825	0.451673	0.451673	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	mouse	dentate_gyrus	10x	axon_guidance_synapse	794	15	15	0.939547	0.0626364	1.25063	0.0833753	0.0496206	0.0496206	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	mouse	dentate_gyrus	10x	cerebellar_identity	794	12	12	0.36398	0.0303317	0.439547	0.0366289	0.0234089	0.0234089	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	mouse	dentate_gyrus	10x	dentate_identity	794	12	12	0.974811	0.0812343	1.4534	0.121117	0.0687769	0.0687769	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	794	8	7	3.77204	0.471505	9.60453	1.20057	0.53705	0.613772	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	794	13	12	4.5869	0.352839	10.5176	0.809049	0.37588	0.407203	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
