dataset	sample	source_group	specificity_role	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank
GSE122357	P8b	Purkinje cells	purkinje_comparator	KCNK1	Kcnk1	Kcnk1	78	0.6931471805599453	0.5317090362141017	0.5897435897435898	0.9375
GSE122357	P8b	Astrocytes	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	512	0.0	0.04998892515542766	0.064453125	0.4375
GSE122357	P8b	Endothelial cells	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	18	0.0	0.09954219273489194	0.1111111111111111	0.4375
GSE122357	P8b	Interneuron	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	828	0.0	0.0872494999655089	0.11352657004830918	0.4375
GSE122357	P8b	Microglia	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	123	0.0	0.08262414756476595	0.08943089430894309	0.4375
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	238	0.0	0.17721742021797746	0.226890756302521	0.4375
GSE104323	10X_all_cells	GC-adult	dentate_granule	NFIA	Nfia	Nfia	2613	0.0	0.416266804817074	0.44776119402985076	0.22916666666666666
GSE104323	10X_all_cells	GC-juv	dentate_granule	NFIA	Nfia	Nfia	3420	0.6931471805599453	0.5657377083773248	0.5786549707602339	0.5416666666666666
GSE104323	10X_all_cells	Immature-GC	dentate_granule	NFIA	Nfia	Nfia	2419	1.3862943611198906	1.402117611688466	0.9069863579991733	0.8125
GSE104323	10X_all_cells	Neuroblast	dentate_granule	NFIA	Nfia	Nfia	1381	1.6094379124341003	1.5948136509170001	0.9478638667632151	0.9583333333333334
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	NFIA	Nfia	Nfia	532	0.0	0.40137057236831436	0.4266917293233083	0.22916666666666666
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	NFIA	Nfia	Nfia	4520	1.0986122886681098	0.9684270348819433	0.7115044247787611	0.6875
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	NFIA	Nfia	Nfia	1232	0.6931471805599453	0.7739518758414714	0.7297077922077922	0.5416666666666666
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	NFIA	Nfia	Nfia	821	0.6931471805599453	0.7724543158812585	0.7295980511571255	0.5416666666666666
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	NFIA	Nfia	Nfia	535	1.0986122886681098	1.037618281688036	0.7775700934579439	0.6875
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	NFIA	Nfia	Nfia	543	0.0	0.4577111581097704	0.48066298342541436	0.22916666666666666
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	NFIA	Nfia	Nfia	182	1.3862943611198906	1.3139191984157088	0.8516483516483516	0.8125
GSE104323	10X_all_cells	GABA	other_local_cell_type	NFIA	Nfia	Nfia	209	0.0	0.21144808149483685	0.24880382775119617	0.22916666666666666
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	NFIA	Nfia	Nfia	651	1.3862943611198906	1.3105931833957447	0.9201228878648233	0.8125
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	NFIA	Nfia	Nfia	1024	0.0	0.22343585675724612	0.216796875	0.22916666666666666
GSE104323	10X_all_cells	MOL	other_local_cell_type	NFIA	Nfia	Nfia	704	0.0	0.4522265980998144	0.48579545454545453	0.22916666666666666
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	NFIA	Nfia	Nfia	428	0.0	0.2752279596609961	0.29439252336448596	0.22916666666666666
GSE104323	10X_all_cells	NFOL	other_local_cell_type	NFIA	Nfia	Nfia	232	0.0	0.2982580440091731	0.34051724137931033	0.22916666666666666
GSE104323	10X_all_cells	OPC	other_local_cell_type	NFIA	Nfia	Nfia	794	0.6931471805599453	0.7172371296797521	0.6775818639798489	0.5416666666666666
GSE104323	10X_all_cells	PVM	other_local_cell_type	NFIA	Nfia	Nfia	79	0.0	0.1821036931008032	0.24050632911392406	0.22916666666666666
GSE104323	10X_all_cells	RGL	other_local_cell_type	NFIA	Nfia	Nfia	199	0.6931471805599453	0.8866157268318978	0.7738693467336684	0.5416666666666666
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	NFIA	Nfia	Nfia	686	1.3862943611198906	1.2592262658420392	0.892128279883382	0.8125
GSE104323	10X_all_cells	VLMC	other_local_cell_type	NFIA	Nfia	Nfia	160	0.0	0.46054372360821666	0.46875	0.22916666666666666
GSE104323	10X_all_cells	nIPC	other_local_cell_type	NFIA	Nfia	Nfia	353	1.6094379124341003	1.681050846279108	0.9121813031161473	0.9583333333333334
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	NFIA	Nfia	Nfia	468	1.6094379124341003	1.587243986072687	0.9594017094017094	0.9583333333333334
GSE122357	P0	Granule cells	cerebellar_granule	NFIA	Nfia	Nfia	2814	1.0986122886681098	0.9955762321686907	0.7910447761194029	0.6875
