dataset	species	region	axis_type	axis_label	axis_order	comparison_group	module_id	module_label	paper_readout	trajectory_role	orientation	n_cells	n_genes_present	genes_present	module_score	mean_module_rank	median_detection_fraction	median_mean_log1p_expression	n_genes_defined	module_gene_coverage
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	2419	11	APAF1,BAD,BAK1,BAX,BBC3,BID,CASP3,CASP7,CASP8,CASP9,PMAIP1	0.625	0.5909090909090909	0.04878048780487805	0.03452608030349898	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	2419	16	BDNF,CREB1,DUSP1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAP2K2,MAPK1,MAPK3,NTRK2,SHC1,SOS1	0.5625	0.6171875	0.20297643654402647	0.17681277066287948	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	2419	9	BTG1,BTG2,CDKN1A,CDKN1B,CDKN1C,GADD45A,GADD45B,TOB1,TOB2	0.375	0.4027777777777778	0.051260851591566764	0.03636939889622738	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	2419	11	ASCL1,ATOH1,DCX,EOMES,HES1,HES5,NES,NEUROD1,NEUROD2,SOX11,SOX2	0.375	0.5397727272727273	0.02066969822240595	0.015570696081665898	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	2419	11	CAMK2A,DLG4,MAP2,NEFL,NEFM,RBFOX3,SNAP25,SYN1,SYN2,SYP,TUBB3	0.75	0.7840909090909091	0.34311699049193883	0.3174399387500068	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	2419	15	AURKB,CCNB1,CCND1,CCND2,CCNE1,E2F1,MCM2,MCM3,MCM4,MCM5,MCM6,MKI67,MYBL2,PCNA,TOP2A	0.375	0.38333333333333336	0.01364200082678793	0.009455914410284495	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	2419	13	BDNF,BMP6,CXCL12,GDF11,INHBB,NTF3,RELN,SEMA3A,SFRP1,SFRP2,SLIT2,TGFB2,TGFB3	0.625	0.6730769230769231	0.051260851591566764	0.038115802417466337	13	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	2419	9	AKT1,AKT2,BCL2,BCL2L1,BCL2L2,BDNF,CREB1,MCL1,NTRK2	0.5	0.5972222222222222	0.15006200909466721	0.11270398723868016	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	2419	14	CDKN1A,CDKN1B,ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2	0.4375	0.4732142857142857	0.028317486564696154	0.020644659163941606	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-juv	6.0	curated_dentate_granule_lineage	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	3420	11	APAF1,BAD,BAK1,BAX,BBC3,BID,CASP3,CASP7,CASP8,CASP9,PMAIP1	0.375	0.5113636363636364	0.028362573099415204	0.01977799462643943	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-juv	6.0	curated_dentate_granule_lineage	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	3420	16	BDNF,CREB1,DUSP1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAP2K2,MAPK1,MAPK3,NTRK2,SHC1,SOS1	0.6875	0.6484375	0.2657894736842105	0.20956261894446226	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-juv	6.0	curated_dentate_granule_lineage	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	3420	9	BTG1,BTG2,CDKN1A,CDKN1B,CDKN1C,GADD45A,GADD45B,TOB1,TOB2	0.375	0.3888888888888889	0.04649122807017544	0.03318961859701615	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-juv	6.0	curated_dentate_granule_lineage	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	3420	11	ASCL1,ATOH1,DCX,EOMES,HES1,HES5,NES,NEUROD1,NEUROD2,SOX11,SOX2	0.25	0.39204545454545453	0.02017543859649123	0.014608140793811368	11	1.0
