selected_feature_index	feature_index	gene	selection_reason	max_feature_score	GSE185277	GSE185553	GSE186538	is_marker_panel_gene	present_in_gse268609	gse268609_feature_id	gse268609_feature_name	source_matrix_row_1based	n_matching_gene_rows
1780	1780	ITCH	high_information_gene	7.535249574588333	0.1303867033040681	0.2524839095867143	0.5348800948015093	False	True	ENSG00000078747	ITCH	33324.0	1
1781	1781	SEPT2	high_information_gene	7.532479927116568	0.0939391908495856	0.1860962457407729	0.53578445130508	False	False				0
1782	1782	DLGAP4	high_information_gene	7.531727712181197	0.125583629336729	0.2221346785498675	0.5345682477313126	False	True	ENSG00000080845	DLGAP4	33371.0	1
1783	1783	SPAG9	high_information_gene	7.531525344368554	0.1713245314210397	0.2860051775829078	0.5358468207191194	False	True	ENSG00000008294	SPAG9	29454.0	1
1784	1784	TTLL11	high_information_gene	7.530570975065109	0.1155753635815294	0.1997462370432522	0.532011101755699	False	True	ENSG00000175764	TTLL11	17122.0	1
1785	1785	JAK1	high_information_gene	7.52900947189674	0.1299622456046288	0.1808470361919184	0.5307325287678922	False	True	ENSG00000162434	JAK1	1238.0	1
1786	1786	U2SURP	high_information_gene	7.524753601177974	0.1521122355516833	0.2116771889613113	0.5351919418717062	False	True	ENSG00000163714	U2SURP	7273.0	1
1787	1787	NT5C2	high_information_gene	7.516354334852466	0.0985523758461229	0.1999918140981694	0.5325724264820532	False	True	ENSG00000076685	NT5C2	18592.0	1
1788	1788	TOMM20	high_information_gene	7.513765568827558	0.1266336036458682	0.0793418534928219	0.5227492437708547	False	True	ENSG00000173726	TOMM20	3232.0	1
1789	1789	NEK1	high_information_gene	7.504624692010816	0.1128722382324687	0.2223393260956318	0.5279259051361213	False	True	ENSG00000137601	NEK1	9191.0	1
1790	1790	TARSL2	high_information_gene	7.503626827354736	0.10754417711056	0.1863315904184019	0.5299217263853806	False	True	ENSG00000185418	TARSL2	26426.0	1
1791	1791	TMBIM6	high_information_gene	7.5008878885830255	0.1232602819292719	0.1053832536913301	0.5310755605451086	False	True	ENSG00000139644	TMBIM6	21676.0	1
1792	1792	MTERF1	high_information_gene	7.500607225872022	0.0841878337019413	0.1851650994075453	0.519817881311005	False	True	ENSG00000127989	MTERF1	13848.0	1
1793	1793	VSNL1	high_information_gene	7.499050271183652	0.123092732837388	0.1389761483285411	0.5273022109957277	False	True	ENSG00000163032	VSNL1	3611.0	1
1794	1794	CRMP1	high_information_gene	7.49513355848618	0.1373120657686035	0.1578753491798749	0.5312938534942464	False	True	ENSG00000072832	CRMP1	7953.0	1
1795	1795	PPP1R21	high_information_gene	7.48914434649539	0.1015570895605745	0.1946300483991445	0.5302335734555774	False	True	ENSG00000162869	PPP1R21	3975.0	1
1796	1796	SNRPN	high_information_gene	7.484187795850079	0.2071018475079865	0.2075944704233134	0.5138616022702467	False	True	ENSG00000128739	SNRPN	25235.0	1
1797	1797	PRKDC	high_information_gene	7.4829756527922	0.1367870786140339	0.2461296032907325	0.5290797392958493	False	True	ENSG00000253729	PRKDC	15273.0	1
