dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE214309	snRNA_counts	mature_1hr	mouse	dentate_gyrus	snRNA_seq	cerebellar_identity	44	11	11	1.11364	0.10124	25.8625	2.35114	0.16687	0.16687	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_1hr	mouse	dentate_gyrus	snRNA_seq	dentate_identity	44	8	8	2.81818	0.352273	480.291	60.0363	1.17693	1.17693	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_1hr	mouse	dentate_gyrus	snRNA_seq	metabolic_proteomic_validation	44	8	6	3.43182	0.428977	840.866	105.108	1.53686	2.04915	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_1hr	mouse	dentate_gyrus	snRNA_seq	morphogenesis_cytoskeleton	44	12	12	4.54545	0.378788	2381.59	198.466	1.56722	1.56722	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_1hr	mouse	dentate_gyrus	snRNA_seq	shared_granule_neuronal	44	13	12	4.52273	0.347902	1137.28	87.4833	1.22481	1.32688	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_4hr	mouse	dentate_gyrus	snRNA_seq	axon_guidance_synapse	44	15	15	6.13636	0.409091	1659.98	110.665	1.30544	1.30544	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_4hr	mouse	dentate_gyrus	snRNA_seq	cerebellar_identity	44	11	11	1.40909	0.128099	40.8552	3.71411	0.215591	0.215591	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_4hr	mouse	dentate_gyrus	snRNA_seq	dentate_identity	44	8	8	3.04545	0.380682	642.391	80.2989	1.42835	1.42835	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_4hr	mouse	dentate_gyrus	snRNA_seq	metabolic_proteomic_validation	44	8	6	4	0.5	1357.18	169.647	1.93032	2.57377	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_4hr	mouse	dentate_gyrus	snRNA_seq	morphogenesis_cytoskeleton	44	12	12	5.68182	0.473485	3680.52	306.71	2.06567	2.06567	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	mature_4hr	mouse	dentate_gyrus	snRNA_seq	shared_granule_neuronal	44	13	12	5.86364	0.451049	2975.26	228.866	1.82258	1.97446	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_1hr	mouse	dentate_gyrus	snRNA_seq	axon_guidance_synapse	61	15	15	4.45902	0.297268	766.522	51.1015	0.832666	0.832666	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_1hr	mouse	dentate_gyrus	snRNA_seq	cerebellar_identity	61	11	11	0.934426	0.0849478	6.35197	0.577452	0.102322	0.102322	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_1hr	mouse	dentate_gyrus	snRNA_seq	dentate_identity	61	8	8	2.47541	0.309426	216.475	27.0593	0.771902	0.771902	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_1hr	mouse	dentate_gyrus	snRNA_seq	metabolic_proteomic_validation	61	8	6	2.39344	0.29918	410.966	51.3707	0.90072	1.20096	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_1hr	mouse	dentate_gyrus	snRNA_seq	morphogenesis_cytoskeleton	61	12	12	3.39344	0.282787	1414.32	117.86	1.07948	1.07948	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_1hr	mouse	dentate_gyrus	snRNA_seq	shared_granule_neuronal	61	13	12	3.88525	0.298865	1057.35	81.3344	0.951885	1.03121	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_4hr	mouse	dentate_gyrus	snRNA_seq	axon_guidance_synapse	54	15	15	6.59259	0.439506	2503.92	166.928	1.77107	1.77107	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
