source_layer	expression_scale	broad_class	panel	gene	gene_key	candidate_role	notes	n_cells	detection_fraction	mean_value_all_cells	mean_log1p_value_all_cells	present_in_matrix
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	29474	0.170625	0.419149	0.186662	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	56808	0.282513	0.708897	0.314081	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	511	0.035225	0.0567515	0.0313981	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	10533	0.293174	0.549481	0.549481	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	67423	0.153864	0.15876	0.15876	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	3304	0.0254237	0.0451674	0.0451674	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	37763	0.0888701	0.209733	0.209733	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	Ror1	ROR1	regional_cerebellar_identity	Allen CB granule marker, validate specificity	36805	0.00225513	0.00579894	0.00579894	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	32081	0.0706337	0.0983448	0.0583278	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	32875	0.148411	0.308989	0.146838	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	29474	0.136425	0.184094	0.111401	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	56808	0.00174271	0.00190114	0.00127012	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	511	0.0254403	0.0293542	0.0192208	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	10533	0.0286718	0.0596016	0.0596016	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	67423	0.00418255	0.00371907	0.00371907	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	3304	0.00181598	0.00348873	0.00348873	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	37763	0.0412838	0.0893305	0.0893305	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	Zic1	ZIC1	regional_cerebellar_identity	cerebellar granule TF	36805	0.000815107	0.00194648	0.00194648	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	32081	0.00688881	0.00741872	0.00498248	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	32875	0.0356502	0.0464487	0.0283926	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	29474	0.00753206	0.00848205	0.00556609	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	56808	0.0010914	0.001109	0.000763635	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	511	0.0215264	0.0215264	0.014921	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	10533	0.00417735	0.00849741	0.00849741	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	67423	0.00137935	0.00108081	0.00108081	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	3304	0.00090799	0.00146506	0.00146506	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	37763	0.0115457	0.0226228	0.0226228	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	Zic2	ZIC2	regional_cerebellar_identity	cerebellar granule TF	36805	0.000190192	0.000491106	0.000491106	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	32081	0.154609	0.237773	0.135118	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	32875	0.392152	0.812502	0.403017	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	29474	0.0458031	0.0662618	0.038902	True
