dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE312658	Ctrl	all	cerebellum	10x	non_granule_or_ambiguous	low	2432	0.0270846	0.0906577	-0.0635732	0.316706	0.267758	0.500721
GSE312658	cKO	all	cerebellum	10x	candidate_cerebellar_granule	high	1157	0.0682739	0.310879	-0.242605	0.703016	0.752951	0.166571
GSE312658	cKO	all	cerebellum	10x	candidate_cerebellar_granule	medium	1172	0.0467606	0.263331	-0.21657	0.413825	0.462928	0.16873
GSE312658	cKO	all	cerebellum	10x	cerebellum_dentate_panel_high_warning	low	1494	0.251034	0.0730215	0.178012	0.614647	0.732076	0.215088
GSE312658	cKO	all	cerebellum	10x	non_granule_or_ambiguous	low	3123	0.032847	0.0803834	-0.0475363	0.36057	0.276274	0.449611
GSE95752	C1_all_cells	DC12	dentate_gyrus	C1	candidate_dentate_granule	high	5	0.727121	0	0.727121	0.711188	0.627877	0.125
GSE95752	C1_all_cells	DC12	dentate_gyrus	C1	candidate_dentate_granule	medium	10	0.539606	0.00630134	0.533304	0.450532	0.388406	0.25
GSE95752	C1_all_cells	DC12	dentate_gyrus	C1	dentate_like_low_support	low	17	0.24534	0.0132883	0.232052	0.589085	0.344768	0.425
GSE95752	C1_all_cells	DC12	dentate_gyrus	C1	non_granule_or_ambiguous	low	8	0	0.0407218	-0.0407218	0.400942	0.0856492	0.2
GSE95752	C1_all_cells	DG03	dentate_gyrus	C1	candidate_dentate_granule	high	14	0.647172	0.0277706	0.619401	0.853403	0.760096	0.358974
GSE95752	C1_all_cells	DG03	dentate_gyrus	C1	candidate_dentate_granule	medium	6	0.448111	0.0210045	0.427106	0.504462	0.433131	0.153846
GSE95752	C1_all_cells	DG03	dentate_gyrus	C1	dentate_like_low_support	low	11	0.212078	0.0238873	0.188191	0.421813	0.364742	0.282051
GSE95752	C1_all_cells	DG03	dentate_gyrus	C1	non_granule_or_ambiguous	low	8	0.0171659	0.0453294	-0.0281635	0.17965	0.161528	0.205128
GSE95752	C1_all_cells	DG04	dentate_gyrus	C1	candidate_dentate_granule	high	25	0.708607	0.0155515	0.693056	0.791899	0.717325	0.431034
GSE95752	C1_all_cells	DG04	dentate_gyrus	C1	candidate_dentate_granule	medium	14	0.57876	0.00900191	0.569758	0.540469	0.521928	0.241379
GSE95752	C1_all_cells	DG04	dentate_gyrus	C1	dentate_like_low_support	low	14	0.23913	0.00450096	0.234629	0.485775	0.399913	0.241379
GSE95752	C1_all_cells	DG04	dentate_gyrus	C1	non_granule_or_ambiguous	low	5	0	0.0492374	-0.0492374	0.243918	0.125923	0.0862069
GSE95752	C1_all_cells	DG05	dentate_gyrus	C1	candidate_dentate_granule	high	62	0.729596	0.017796	0.7118	0.83987	0.778767	0.492063
GSE95752	C1_all_cells	DG05	dentate_gyrus	C1	candidate_dentate_granule	medium	19	0.553926	0.00857301	0.545353	0.512492	0.491099	0.150794
GSE95752	C1_all_cells	DG05	dentate_gyrus	C1	dentate_like_low_support	low	25	0.254088	0.00903602	0.245052	0.529357	0.483283	0.198413
GSE95752	C1_all_cells	DG05	dentate_gyrus	C1	non_granule_or_ambiguous	low	20	0.00433217	0.0722285	-0.0678964	0.2002	0.130265	0.15873
GSE95752	C1_all_cells	DG06	dentate_gyrus	C1	candidate_dentate_granule	high	12	0.674417	0.0135739	0.660843	0.76944	0.744681	0.285714
GSE95752	C1_all_cells	DG06	dentate_gyrus	C1	candidate_dentate_granule	medium	8	0.513213	0	0.513213	0.529443	0.511941	0.190476
GSE95752	C1_all_cells	DG06	dentate_gyrus	C1	dentate_like_low_support	low	15	0.240857	0.0168036	0.224053	0.546892	0.475033	0.357143
GSE95752	C1_all_cells	DG06	dentate_gyrus	C1	non_granule_or_ambiguous	low	7	0.0123776	0.156092	-0.143714	0.212935	0.231437	0.166667
GSE95752	C1_all_cells	DG07	dentate_gyrus	C1	candidate_dentate_granule	high	45	0.632087	0.0148221	0.617265	0.839573	0.774642	0.381356
GSE95752	C1_all_cells	DG07	dentate_gyrus	C1	candidate_dentate_granule	medium	17	0.538967	0.01112	0.527847	0.522117	0.505428	0.144068
GSE95752	C1_all_cells	DG07	dentate_gyrus	C1	dentate_like_low_support	low	37	0.249959	0.0102184	0.23974	0.602405	0.507599	0.313559
GSE95752	C1_all_cells	DG07	dentate_gyrus	C1	non_granule_or_ambiguous	low	19	0	0.0891873	-0.0891873	0.138746	0.0887972	0.161017
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	candidate_dentate_granule	high	33	0.649839	0.0210045	0.628835	0.792878	0.717759	0.279661
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	candidate_dentate_granule	medium	27	0.558555	0.0130343	0.545521	0.51213	0.508901	0.228814
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	dentate_like_low_support	low	41	0.259211	0.00614765	0.253063	0.498271	0.429874	0.347458
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	non_granule_or_ambiguous	low	17	0.00509667	0.0648366	-0.05974	0.151883	0.123317	0.144068
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	candidate_dentate_granule	high	16	0.637007	0.0157533	0.621254	0.798102	0.742293	0.145455
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	candidate_dentate_granule	medium	21	0.539293	0.00600128	0.533291	0.499292	0.483717	0.190909
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	dentate_like_low_support	low	45	0.243178	0.0142409	0.228938	0.474799	0.409032	0.409091
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	non_granule_or_ambiguous	low	28	0.00618881	0.0352465	-0.0290577	0.21448	0.149479	0.254545
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	candidate_dentate_granule	high	4	0.711863	0.0249684	0.686894	0.720432	0.68997	0.0533333
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	candidate_dentate_granule	medium	14	0.547143	0.00450096	0.542642	0.515503	0.527573	0.186667
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	dentate_like_low_support	low	27	0.21308	0.0070015	0.206078	0.387626	0.363873	0.36
