gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity	db_class_key	human_symbol	mouse_symbol	canonical_mouse_symbol	ortholog_symbol_class	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	present_in_human_dg_full_gene_list
TRAPPC1	TRAPPC1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.06378092654253012	0.5234340170735036	5	2	0.2047379835013634	0.03613674988490279	True	False	1.0	0.06378092654253012	cerebellar_biased	51628180	TRAPPC1	Trappc1	TRAPPC1	same_symbol	58485	245828	HGNC:19894	MGI:1098727	True
TRAPPC12	TRAPPC12	mgi_one_to_one_ortholog_gene	3	4	1.0	0.5	0.5	0.020793170616093072	6	12	1.0	0.5	0.5	0.009879767867540601	0.46094316807738817	0.15928558410789137	4	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.15928558410789137	cerebellar_biased	51627120	TRAPPC12	Trappc12	TRAPPC12	same_symbol	51112	217449	HGNC:24284	MGI:2445089	True
TRAPPC2L	TRAPPC2L	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.05959168863968165	0.4142297535143551	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.05959168863968165	cerebellar_biased	51629334	TRAPPC2L	Trappc2l	TRAPPC2L	same_symbol	51693	59005	HGNC:30887	MGI:1916295	True
TRAPPC3	TRAPPC3	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.17553709562538305	0.3910906525895649	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.17553709562538305	cerebellar_biased	51628187	TRAPPC3	Trappc3	TRAPPC3	same_symbol	27095	27096	HGNC:19942	MGI:1351486	True
TRAPPC4	TRAPPC4	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.14483316887744382	0.4629655682491014	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.14483316887744382	cerebellar_biased	51629874	TRAPPC4	Trappc4	TRAPPC4	same_symbol	51399	60409	HGNC:19943	MGI:1926211	True
TRAPPC6B	TRAPPC6B	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.38796050700376833	0.3757847702720537	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.3757847702720537	cerebellar_biased	51628314	TRAPPC6B	Trappc6b	TRAPPC6B	same_symbol	122553	78232	HGNC:23066	MGI:1925482	True
TRIM13	TRIM13	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.20847296596994297	0.09132786028664575	3	2	0.2047379835013634	0.03613674988490279	True	False	1.0	0.09132786028664575	cerebellar_biased	51628496	TRIM13	Trim13	TRIM13	same_symbol	10206	66597	HGNC:9976	MGI:1913847	True
TRIM26	TRIM26	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.15975889404432655	0.18391322005446953	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.15975889404432655	cerebellar_biased	51636094	TRIM26	Trim26	TRIM26	same_symbol	7726	22670	HGNC:12962	MGI:1337056	True
TRIM27	TRIM27	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.15464243857169316	0.29322139207124903	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.15464243857169316	cerebellar_biased	51619956	TRIM27	Trim27	TRIM27	same_symbol	5987	19720	HGNC:9975	MGI:97904	True
TRIM28	TRIM28	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.19806624584296317	0.5302970027796802	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.19806624584296317	cerebellar_biased	51636095	TRIM28	Trim28	TRIM28	same_symbol	10155	21849	HGNC:16384	MGI:109274	True
