gene_symbol	feature_role	present_in_all_four_matrices	selection_seed
Copb1	background_pool	True	205921
Cope	background_pool	True	205921
Cops2	background_pool	True	205921
Cops6	background_pool	True	205921
Copz2	background_pool	True	205921
Coq10b	background_pool	True	205921
Coro2b	background_pool	True	205921
Cox10	background_pool	True	205921
Cox7a2	background_pool	True	205921
Cox7b	background_pool	True	205921
Cox7b2	background_pool	True	205921
Cpne3	background_pool	True	205921
Cpne4	background_pool	True	205921
Cpt1b	background_pool	True	205921
Cptp	background_pool	True	205921
Cpvl	background_pool	True	205921
Cpxm2	background_pool	True	205921
Cracr2a	background_pool	True	205921
Creg2	background_pool	True	205921
Crk	background_pool	True	205921
Crnkl1	background_pool	True	205921
Crp	background_pool	True	205921
Crx	background_pool	True	205921
Crxos	background_pool	True	205921
Cry1	background_pool	True	205921
Crygb	background_pool	True	205921
Csf1r	background_pool	True	205921
Csl	background_pool	True	205921
Csn1s2b	background_pool	True	205921
Csnk1g1	background_pool	True	205921
Csrnp2	background_pool	True	205921
Csrp2	background_pool	True	205921
Cst7	background_pool	True	205921
Cst9	background_pool	True	205921
Cstf2t	background_pool	True	205921
Ctdsp1	background_pool	True	205921
Ctdspl	background_pool	True	205921
Ctla4	background_pool	True	205921
Ctnnb1	background_pool	True	205921
Ctns	background_pool	True	205921
Ctps	background_pool	True	205921
Ctrc	background_pool	True	205921
Ctsb	background_pool	True	205921
Ctse	background_pool	True	205921
Ctsh	background_pool	True	205921
Ctsll3	background_pool	True	205921
Ctso	background_pool	True	205921
Cttnbp2nl	background_pool	True	205921
Ctxn3	background_pool	True	205921
Cuedc1	background_pool	True	205921
Cuedc2	background_pool	True	205921
Cul1	background_pool	True	205921
Cul3	background_pool	True	205921
Cul4b	background_pool	True	205921
Cwc22	background_pool	True	205921
Cwc27	background_pool	True	205921
Cwf19l2	background_pool	True	205921
Cxcl12	background_pool	True	205921
Cxcl14	background_pool	True	205921
Cxcl15	background_pool	True	205921
Cxcl5	background_pool	True	205921
Cxcr4	background_pool	True	205921
Cyb561	background_pool	True	205921
Cyba	background_pool	True	205921
Cyp1a1	background_pool	True	205921
Cyp21a1	background_pool	True	205921
Cyp27b1	background_pool	True	205921
Cyp2a12	background_pool	True	205921
Cyp2b13	background_pool	True	205921
Cyp2j12	background_pool	True	205921
Cyp46a1	background_pool	True	205921
Cyp4a12a	background_pool	True	205921
Cyp4x1	background_pool	True	205921
Cyp51	background_pool	True	205921
Cyp7a1	background_pool	True	205921
Cypt14	background_pool	True	205921
Cysrt1	background_pool	True	205921
Cyth1	background_pool	True	205921
Cyth4	background_pool	True	205921
D430041D05Rik	background_pool	True	205921
Daglb	background_pool	True	205921
Dazap2	background_pool	True	205921
Dazl	background_pool	True	205921
Dbi	background_pool	True	205921
Dbp	background_pool	True	205921
Dbr1	background_pool	True	205921
Dcaf1	background_pool	True	205921
Dcaf7	background_pool	True	205921
Dcaf8	background_pool	True	205921
Dchs1	background_pool	True	205921
Dck	background_pool	True	205921
Dctd	background_pool	True	205921
Dctpp1	background_pool	True	205921
Ddx11	background_pool	True	205921
Ddx17	background_pool	True	205921
Ddx25	background_pool	True	205921
Ddx58	background_pool	True	205921
Ddx6	background_pool	True	205921
Dedd2	background_pool	True	205921
Def6	background_pool	True	205921
Defa24	background_pool	True	205921
Defa34	background_pool	True	205921
Defb11	background_pool	True	205921
Defb18	background_pool	True	205921
Defb29	background_pool	True	205921
Defb35	background_pool	True	205921
Defb37	background_pool	True	205921
Defb5	background_pool	True	205921
Defb50	background_pool	True	205921
Defb6	background_pool	True	205921
Dgat1	background_pool	True	205921
Dgkb	background_pool	True	205921
Dgkz	background_pool	True	205921
Dhcr24	background_pool	True	205921
Dhrs11	background_pool	True	205921
Diaph2	background_pool	True	205921
Dip2a	background_pool	True	205921
Dip2c	background_pool	True	205921
Dipk1a	background_pool	True	205921
Dipk1b	background_pool	True	205921
Disp3	background_pool	True	205921
Dlec1	background_pool	True	205921
Dleu7	background_pool	True	205921
Dlx2	background_pool	True	205921
Dmac1	background_pool	True	205921
Dmac2l	background_pool	True	205921
Dmap1	background_pool	True	205921
Dmgdh	background_pool	True	205921
Dmrtc1c1	background_pool	True	205921
Dmrtc1c2	background_pool	True	205921
Dmrtc2	background_pool	True	205921
Dnah14	background_pool	True	205921
Dnah6	background_pool	True	205921
Dnajb4	background_pool	True	205921
Dnajb6	background_pool	True	205921
Dnajc3	background_pool	True	205921
Dnajc30	background_pool	True	205921
Dnajc9	background_pool	True	205921
Dnal4	background_pool	True	205921
Dnase1l3	background_pool	True	205921
Dnlz	background_pool	True	205921
Dock2	background_pool	True	205921
Dok2	background_pool	True	205921
Dok6	background_pool	True	205921
Dok7	background_pool	True	205921
Dpagt1	background_pool	True	205921
Dpep2nb	background_pool	True	205921
Dpf1	background_pool	True	205921
Dph2	background_pool	True	205921
Dpy19l4	background_pool	True	205921
Dpy30	background_pool	True	205921
Dpysl4	background_pool	True	205921
Drd1	background_pool	True	205921
Drd2	background_pool	True	205921
Dsg1c	background_pool	True	205921
Dsg3	background_pool	True	205921
Dst	background_pool	True	205921
Dtnb	background_pool	True	205921
Dtwd1	background_pool	True	205921
Dtx3	background_pool	True	205921
Dtymk	background_pool	True	205921
Duox1	background_pool	True	205921
Duoxa1	background_pool	True	205921
Dus3l	background_pool	True	205921
Dusp15	background_pool	True	205921
Dusp19	background_pool	True	205921
Dusp2	background_pool	True	205921
Dxo	background_pool	True	205921
E030018B13Rik	background_pool	True	205921
E030030I06Rik	background_pool	True	205921
E130309D02Rik	background_pool	True	205921
E2f3	background_pool	True	205921
E2f7	background_pool	True	205921
Ebpl	background_pool	True	205921
Ecd	background_pool	True	205921
Echdc1	background_pool	True	205921
Eci1	background_pool	True	205921
Edn1	background_pool	True	205921
Eef1a2	background_pool	True	205921
Eef1akmt1	background_pool	True	205921
Eef1e1	background_pool	True	205921
Efhd1	background_pool	True	205921
Efna3	background_pool	True	205921
Efr3a	background_pool	True	205921
Egflam	background_pool	True	205921
Ehd3	background_pool	True	205921
Ei24	background_pool	True	205921
Eif1ad	background_pool	True	205921
Eif2b1	background_pool	True	205921
Eif3f	background_pool	True	205921
Eif3g	background_pool	True	205921
Eif3j1	background_pool	True	205921
Eif3m	background_pool	True	205921
Eif4a2	background_pool	True	205921
Eloa	background_pool	True	205921
Emilin3	background_pool	True	205921
Engase	background_pool	True	205921
Enkur	background_pool	True	205921
Eno1b	background_pool	True	205921
Epgn	background_pool	True	205921
Ephx1	background_pool	True	205921
Ephx3	background_pool	True	205921
Epm2aip1	background_pool	True	205921
Epn1	background_pool	True	205921
Epn3	background_pool	True	205921
Eprs	background_pool	True	205921
Eps8l1	background_pool	True	205921
Epx	background_pool	True	205921
Erh	background_pool	True	205921
Eri2	background_pool	True	205921
Erlin1	background_pool	True	205921
Esp22	background_pool	True	205921
Esp24	background_pool	True	205921
Esp36	background_pool	True	205921
Esrrb	background_pool	True	205921
Ets1	background_pool	True	205921
Evi2b	background_pool	True	205921
Exoc7	background_pool	True	205921
Exosc4	background_pool	True	205921
F10	background_pool	True	205921
F2r	background_pool	True	205921
F830016B08Rik	background_pool	True	205921
Faap20	background_pool	True	205921
Fahd2a	background_pool	True	205921
Fam118a	background_pool	True	205921
Fam120c	background_pool	True	205921
Fam131b	background_pool	True	205921
Fam149a	background_pool	True	205921
Fam162a	background_pool	True	205921
Fam163b	background_pool	True	205921
Fam166a	background_pool	True	205921
Fam171a2	background_pool	True	205921
Fam172a	background_pool	True	205921
Fam174a	background_pool	True	205921
Fam177a	background_pool	True	205921
Fam199x	background_pool	True	205921
Fam205c	background_pool	True	205921
Fam20a	background_pool	True	205921
Fam214b	background_pool	True	205921
Fam240a	background_pool	True	205921
Fam71e2	background_pool	True	205921
Fam81b	background_pool	True	205921
Fam83d	background_pool	True	205921
Fam83f	background_pool	True	205921
Fam8a1	background_pool	True	205921
Fam90a1a	background_pool	True	205921
Fan1	background_pool	True	205921
Fancc	background_pool	True	205921
Fance	background_pool	True	205921
Fbf1	background_pool	True	205921
Fbrsl1	background_pool	True	205921
Fbxl12	background_pool	True	205921
Fbxl20	background_pool	True	205921
Fbxo32	background_pool	True	205921
Fbxo42	background_pool	True	205921
Fbxo46	background_pool	True	205921
Fbxw21	background_pool	True	205921
Fbxw22	background_pool	True	205921
Fbxw7	background_pool	True	205921
Fcor	background_pool	True	205921
Fdft1	background_pool	True	205921
Fdps	background_pool	True	205921
Fer	background_pool	True	205921
Fer1l4	background_pool	True	205921
Fer1l5	background_pool	True	205921
Fev	background_pool	True	205921
Fez1	background_pool	True	205921
Fezf1	background_pool	True	205921
Fgf17	background_pool	True	205921
Fgfbp1	background_pool	True	205921
Fgfr2	background_pool	True	205921
Fgfr3	background_pool	True	205921
Fgfr4	background_pool	True	205921
Fgr	background_pool	True	205921
Fhad1	background_pool	True	205921
Fhl2	background_pool	True	205921
Fibcd1	background_pool	True	205921
Fibp	background_pool	True	205921
Fis1	background_pool	True	205921
Fjx1	background_pool	True	205921
Fkbp1b	background_pool	True	205921
Fkbp4	background_pool	True	205921
Fkbp5	background_pool	True	205921
Fkbp8	background_pool	True	205921
Fkbpl	background_pool	True	205921
Flrt2	background_pool	True	205921
Flt1	background_pool	True	205921
Flt3	background_pool	True	205921
Fmnl2	background_pool	True	205921
Fmr1	background_pool	True	205921
Fmr1nb	background_pool	True	205921
Fndc3c1	background_pool	True	205921
Folr1	background_pool	True	205921
Foxa2	background_pool	True	205921
Foxb1	background_pool	True	205921
Foxd3	background_pool	True	205921
Foxe3	background_pool	True	205921
Foxi3	background_pool	True	205921
Foxr1	background_pool	True	205921
Frk	background_pool	True	205921
Fsbp	background_pool	True	205921
Ftcd	background_pool	True	205921
Fut11	background_pool	True	205921
Fxyd6	background_pool	True	205921
Fzd6	background_pool	True	205921
Fzd9	background_pool	True	205921
G3bp2	background_pool	True	205921
Gabarapl1	background_pool	True	205921
Gabra4	background_pool	True	205921
Gadd45gip1	background_pool	True	205921
Gal3st2	background_pool	True	205921
Gal3st2c	background_pool	True	205921
Galnt11	background_pool	True	205921
Gapt	background_pool	True	205921
Gar1	background_pool	True	205921
Gas6	background_pool	True	205921
Gatad1	background_pool	True	205921
Gbe1	background_pool	True	205921
Gbp9	background_pool	True	205921
Gcg	background_pool	True	205921
Gdf7	background_pool	True	205921
Gdnf	background_pool	True	205921
Get4	background_pool	True	205921
Ghdc	background_pool	True	205921
Gimap1	background_pool	True	205921
Gimap7	background_pool	True	205921
Gimd1	background_pool	True	205921
Ginm1	background_pool	True	205921
Gip	background_pool	True	205921
Gipr	background_pool	True	205921
Gja4	background_pool	True	205921
Gja6	background_pool	True	205921
Gjd2	background_pool	True	205921
Glb1l2	background_pool	True	205921
Glipr1l3	background_pool	True	205921
Glis2	background_pool	True	205921
Glp1r	background_pool	True	205921
Gls	background_pool	True	205921
Glt6d1	background_pool	True	205921
Glt8d1	background_pool	True	205921
