dentate_state	feature_set	direction	gene_symbol	standardized_logistic_coefficient	absolute_coefficient
mature	synaptic_excitability	dentate_to_cerebellum	Gabrb3	-0.1953358172879538	0.1953358172879538
mature	synaptic_excitability	dentate_to_cerebellum	Grin2b	-0.36168855566188735	0.36168855566188735
mature	synaptic_excitability	dentate_to_cerebellum	Kcnd2	0.15719828186678267	0.15719828186678267
mature	synaptic_excitability	dentate_to_cerebellum	Kcnj3	0.5712678944996552	0.5712678944996552
mature	synaptic_excitability	dentate_to_cerebellum	Kcnj6	0.44059161685143317	0.44059161685143317
mature	synaptic_excitability	dentate_to_cerebellum	Kcnk1	0.590888254471274	0.590888254471274
mature	synaptic_excitability	dentate_to_cerebellum	Ppp3ca	0.32793889770497575	0.32793889770497575
mature	synaptic_excitability	dentate_to_cerebellum	Slc17a6	-0.365235528599977	0.365235528599977
mature	synaptic_excitability	dentate_to_cerebellum	Slc17a7	-0.6129524834628637	0.6129524834628637
mature	synaptic_excitability	dentate_to_cerebellum	Snap25	-0.050314910025609616	0.050314910025609616
mature	synaptic_excitability	dentate_to_cerebellum	Stxbp1	-0.4806386932698055	0.4806386932698055
mature	synaptic_excitability	dentate_to_cerebellum	Stxbp5l	-0.2726501613895757	0.2726501613895757
mature	synaptic_excitability	dentate_to_cerebellum	Synpr	0.6585840138216253	0.6585840138216253
mature	synaptic_excitability	dentate_to_cerebellum	Syt1	-0.4865675359271653	0.4865675359271653
mature	synaptic_excitability	cerebellum_to_dentate	Cacna2d1	0.44286593290324316	0.44286593290324316
mature	synaptic_excitability	cerebellum_to_dentate	Calm1	-0.38481622879287314	0.38481622879287314
mature	synaptic_excitability	cerebellum_to_dentate	Calm2	-0.3959762985504149	0.3959762985504149
mature	synaptic_excitability	cerebellum_to_dentate	Camk2a	-0.47844230738084337	0.47844230738084337
mature	synaptic_excitability	cerebellum_to_dentate	Camk2b	-0.48274672676955654	0.48274672676955654
mature	synaptic_excitability	cerebellum_to_dentate	Gabra2	-0.163231904314053	0.163231904314053
mature	synaptic_excitability	cerebellum_to_dentate	Gabrb3	0.26088293010653857	0.26088293010653857
mature	synaptic_excitability	cerebellum_to_dentate	Grin2b	0.03437952495399784	0.03437952495399784
mature	synaptic_excitability	cerebellum_to_dentate	Kcnd2	0.44575229342710015	0.44575229342710015
mature	synaptic_excitability	cerebellum_to_dentate	Kcnj3	0.10993788818954003	0.10993788818954003
mature	synaptic_excitability	cerebellum_to_dentate	Kcnj6	0.4372732205068221	0.4372732205068221
mature	synaptic_excitability	cerebellum_to_dentate	Kcnk1	0.29827964029603843	0.29827964029603843
mature	synaptic_excitability	cerebellum_to_dentate	Ppp3ca	0.2364393020475931	0.2364393020475931
mature	synaptic_excitability	cerebellum_to_dentate	Slc17a6	0.06113999774646716	0.06113999774646716
mature	synaptic_excitability	cerebellum_to_dentate	Slc17a7	0.4713953115632569	0.4713953115632569
mature	synaptic_excitability	cerebellum_to_dentate	Snap25	0.41468512385098416	0.41468512385098416
mature	synaptic_excitability	cerebellum_to_dentate	Stxbp1	0.19889450612512496	0.19889450612512496
mature	synaptic_excitability	cerebellum_to_dentate	Stxbp5l	0.41808171016175627	0.41808171016175627
mature	synaptic_excitability	cerebellum_to_dentate	Synpr	0.3354994824137742	0.3354994824137742
mature	synaptic_excitability	cerebellum_to_dentate	Syt1	0.4542465439553519	0.4542465439553519
mature	all_curated	dentate_to_cerebellum	Ascl1	0.10872740118819023	0.10872740118819023
mature	all_curated	dentate_to_cerebellum	Atoh1	0.0	0.0
mature	all_curated	dentate_to_cerebellum	Barhl1	-0.014458748645827548	0.014458748645827548
mature	all_curated	dentate_to_cerebellum	Basp1	-0.1325858247507172	0.1325858247507172
mature	all_curated	dentate_to_cerebellum	Bcl11b	0.054236859018789725	0.054236859018789725
mature	all_curated	dentate_to_cerebellum	Bmp4	0.06915449248959679	0.06915449248959679
mature	all_curated	dentate_to_cerebellum	Bmpr1a	-0.007756891046216549	0.007756891046216549
mature	all_curated	dentate_to_cerebellum	C1ql3	0.20094534985660364	0.20094534985660364
mature	all_curated	dentate_to_cerebellum	Cacna2d1	0.12321655871454364	0.12321655871454364
mature	all_curated	dentate_to_cerebellum	Cadm3	-0.1248095264153198	0.1248095264153198
mature	all_curated	dentate_to_cerebellum	Calb1	0.18882009357970927	0.18882009357970927
mature	all_curated	dentate_to_cerebellum	Calm1	0.11394514335324891	0.11394514335324891
mature	all_curated	dentate_to_cerebellum	Calm2	-0.11437245084225327	0.11437245084225327
mature	all_curated	dentate_to_cerebellum	Camk2a	-0.028431679542064534	0.028431679542064534
mature	all_curated	dentate_to_cerebellum	Camk2b	0.08230780657777831	0.08230780657777831
mature	all_curated	dentate_to_cerebellum	Cfl1	-0.12571841374460152	0.12571841374460152
mature	all_curated	dentate_to_cerebellum	Cntn5	0.23525817374554037	0.23525817374554037
mature	all_curated	dentate_to_cerebellum	Dcc	-0.14643918060141728	0.14643918060141728
mature	all_curated	dentate_to_cerebellum	Dcx	-0.05654111766337101	0.05654111766337101
mature	all_curated	dentate_to_cerebellum	Dkk3	-0.25117092126797597	0.25117092126797597
mature	all_curated	dentate_to_cerebellum	Dll1	0.008859652484550184	0.008859652484550184
mature	all_curated	dentate_to_cerebellum	Dpysl2	-0.16094981817528514	0.16094981817528514
mature	all_curated	dentate_to_cerebellum	Dpysl3	-0.11777789548184076	0.11777789548184076
mature	all_curated	dentate_to_cerebellum	Emx2	-0.0037916489480686755	0.0037916489480686755
mature	all_curated	dentate_to_cerebellum	En1	0.011595883644449464	0.011595883644449464
mature	all_curated	dentate_to_cerebellum	En2	0.02875740247588444	0.02875740247588444
mature	all_curated	dentate_to_cerebellum	Eomes	-0.003092582254847089	0.003092582254847089
mature	all_curated	dentate_to_cerebellum	Gabra2	0.059713083952680886	0.059713083952680886
mature	all_curated	dentate_to_cerebellum	Gabrb3	-0.0758281148734442	0.0758281148734442
mature	all_curated	dentate_to_cerebellum	Gap43	-0.17443314286403822	0.17443314286403822
mature	all_curated	dentate_to_cerebellum	Gfap	0.047360710409859286	0.047360710409859286
mature	all_curated	dentate_to_cerebellum	Gli1	-0.018520759389446903	0.018520759389446903
mature	all_curated	dentate_to_cerebellum	Gli2	0.06969236595333783	0.06969236595333783
mature	all_curated	dentate_to_cerebellum	Glis3	0.24433287125384703	0.24433287125384703
mature	all_curated	dentate_to_cerebellum	Gpm6a	0.03245191027285309	0.03245191027285309
mature	all_curated	dentate_to_cerebellum	Grin2b	-0.14263070702784006	0.14263070702784006
mature	all_curated	dentate_to_cerebellum	Hes1	-0.09848850948715082	0.09848850948715082
mature	all_curated	dentate_to_cerebellum	Hes5	0.007946847046898797	0.007946847046898797
mature	all_curated	dentate_to_cerebellum	Id1	0.024286137525550498	0.024286137525550498
mature	all_curated	dentate_to_cerebellum	Id2	0.0880913508128338	0.0880913508128338
mature	all_curated	dentate_to_cerebellum	Jag1	0.18160904268222208	0.18160904268222208
mature	all_curated	dentate_to_cerebellum	Kcnd2	0.013753920911367703	0.013753920911367703
mature	all_curated	dentate_to_cerebellum	Kcnj3	0.13905907441685794	0.13905907441685794
mature	all_curated	dentate_to_cerebellum	Kcnj6	0.12561541366984694	0.12561541366984694
mature	all_curated	dentate_to_cerebellum	Kcnk1	0.175195004377959	0.175195004377959
mature	all_curated	dentate_to_cerebellum	L1cam	-0.19464908325199026	0.19464908325199026
mature	all_curated	dentate_to_cerebellum	Lef1	-0.06411845985087698	0.06411845985087698
mature	all_curated	dentate_to_cerebellum	Lhx2	0.01418851784371058	0.01418851784371058
mature	all_curated	dentate_to_cerebellum	Map1b	0.23725413895242609	0.23725413895242609
mature	all_curated	dentate_to_cerebellum	Meis1	-0.011892020438616844	0.011892020438616844
mature	all_curated	dentate_to_cerebellum	Mycn	0.04468947655724385	0.04468947655724385
mature	all_curated	dentate_to_cerebellum	Ncam1	0.20369704773978384	0.20369704773978384
mature	all_curated	dentate_to_cerebellum	Nes	-0.003156573423685662	0.003156573423685662
mature	all_curated	dentate_to_cerebellum	Neurod1	0.16902896561190547	0.16902896561190547
mature	all_curated	dentate_to_cerebellum	Neurod2	-0.0361089328759934	0.0361089328759934
mature	all_curated	dentate_to_cerebellum	Notch1	0.17361111092137138	0.17361111092137138
mature	all_curated	dentate_to_cerebellum	Notch2	0.17686343014930514	0.17686343014930514
mature	all_curated	dentate_to_cerebellum	Nrp1	-0.01942142347299699	0.01942142347299699
mature	all_curated	dentate_to_cerebellum	Nrxn1	-0.18067616889607177	0.18067616889607177
mature	all_curated	dentate_to_cerebellum	Pax6	0.04897700522762716	0.04897700522762716
mature	all_curated	dentate_to_cerebellum	Plxna2	-0.09052466753918464	0.09052466753918464
mature	all_curated	dentate_to_cerebellum	Plxna4	0.18692096140004386	0.18692096140004386
mature	all_curated	dentate_to_cerebellum	Ppp3ca	0.08923678377043849	0.08923678377043849
mature	all_curated	dentate_to_cerebellum	Prox1	0.24314530749216448	0.24314530749216448
mature	all_curated	dentate_to_cerebellum	Ptch1	0.17422404205118908	0.17422404205118908
mature	all_curated	dentate_to_cerebellum	Robo2	0.00746745357100399	0.00746745357100399
mature	all_curated	dentate_to_cerebellum	Rtn1	0.09217481622667988	0.09217481622667988
mature	all_curated	dentate_to_cerebellum	Rtn3	-0.19830543718036767	0.19830543718036767
mature	all_curated	dentate_to_cerebellum	Slc17a6	-0.15082238064798384	0.15082238064798384
mature	all_curated	dentate_to_cerebellum	Slc17a7	-0.17775525734282693	0.17775525734282693
