gene_symbol	value_scale	cerebellar_granule_minus_purkinje	cerebellar_bootstrap_95ci_low	cerebellar_bootstrap_95ci_high	dentate_granule_minus_mean_ca1_ca3	dentate_bootstrap_95ci_low	dentate_bootstrap_95ci_high	dentate_granule_minus_ca1	dentate_ca1_bootstrap_95ci_low	dentate_ca1_bootstrap_95ci_high	dentate_positive_vs_ca1	dentate_granule_minus_ca3	dentate_ca3_bootstrap_95ci_low	dentate_ca3_bootstrap_95ci_high	dentate_positive_vs_ca3	positive_against_both_hippocampal_comparators	shared_minimum_local_delta	shared_minimum_bootstrap_95ci_low	shared_minimum_bootstrap_95ci_high	bootstrap_fraction_both_positive	both_local_deltas_positive	n_cb_granule_libraries	n_purkinje_libraries	n_dg_granule_libraries	n_ca1_libraries	n_ca3_libraries
Emx2	mean Allen log2 expression	5.683754086052562e-05	0.0	0.00014022685504754212	0.05053326502591138	-0.02085538519436506	0.1137601137282661	0.19610130696725808	0.10436637419978377	0.28442625400438487	True	-0.09503477691543527	-0.16286350311581782	-0.024288513556211283	False	False	5.683754086052562e-05	-0.02085538519436506	0.0001380212484566391	0.8855	True	121	63	29	49	20
Zbtb20	mean Allen log2 expression	4.1124817889081475	3.7985722631830123	4.449143604879012	1.3875765710479673	0.9814210420682902	1.8406809377259017	2.946234116741982	2.139403199937758	3.7955142721785533	True	-0.17108097464604555	-0.2651785835216097	-0.0732604093460771	False	False	1.3875765710479673	0.9814210420682902	1.8406809377259017	1.0	True	121	63	29	49	20
Tcf7l2	mean Allen log2 expression	-0.01383325486931755	-0.021205053292997614	-0.006892779786489218	-0.03578555660952267	-0.05525287338318767	-0.01921991306310727	-0.04338733427270387	-0.07717292936641279	-0.016560449879907506	False	-0.028183778946341477	-0.045678935040928216	-0.01215840700145118	False	False	-0.03578555660952267	-0.05525287338318767	-0.019607370313429195	0.0	False	121	63	29	49	20
Wnt3a	mean Allen log2 expression	-0.017108010369177768	-0.025717125956340313	-0.008833197888710448	-0.00866070049871935	-0.014616712131347692	-0.0027174502478139522	-0.013243812414371638	-0.02392710018029002	-0.004706591406383269	False	-0.00407758858306706	-0.009565558442917007	0.0011725817491005546	False	False	-0.017108010369177768	-0.025717125956340313	-0.009596384970623976	0.0	False	121	63	29	49	20
Wnt7a	mean Allen log2 expression	0.7665014490038722	0.7272471057420333	0.8045052238492194	-0.09000723114568886	-0.13253052508156474	-0.04909738331271873	-0.20247034937072067	-0.27022327869858515	-0.14136221493192547	False	0.022455887079342943	-0.019547864282668307	0.06012726455641788	True	False	-0.09000723114568886	-0.13253052508156474	-0.04909738331271873	0.0	False	121	63	29	49	20
Dkk3	mean Allen log2 expression	0.005804083216330794	0.0012730114089302168	0.009884244623063719	-6.021962898177141	-6.347866829097973	-5.656475844087523	-5.376004660907079	-5.861223649593598	-4.8815496536130025	False	-6.667921135447202	-7.1267494505965585	-6.1507544330167585	False	False	-6.021962898177141	-6.347866829097973	-5.656475844087523	0.0	False	121	63	29	49	20
Bcl11b	mean Allen log2 expression	-0.18787806011897856	-0.22734474151709008	-0.15233633017219836	2.9622067344017697	2.62476225379312	3.3066111633453112	0.6127699915878191	0.11872225261576655	1.0930179322277696	True	5.311643477215721	4.907428091854257	5.689287215085687	True	True	-0.18787806011897856	-0.22734474151709008	-0.15233633017219836	0.0	False	121	63	29	49	20
Calb1	mean Allen log2 expression	-10.366487557882232	-10.441219901318767	-10.291295650352163	4.437006527879241	4.001715183340159	4.888677727442838	2.6301535841872314	2.1219066221087672	3.156631264897743	True	6.243859471571252	5.818732120500841	6.681886417663556	True	True	-10.366487557882232	-10.441219901318767	-10.291295650352163	0.0	False	121	63	29	49	20
C1ql3	mean Allen log2 expression	-0.000883811408907165	-0.003568741044733539	0.0006110060430748522	6.222344775308899	5.859199890675438	6.560682515548432	3.5924426840190575	3.0404768429406226	4.1282446818458585	True	8.85224686659874	8.475971801487445	9.207729117674818	True	True	-0.000883811408907165	-0.003568741044733539	0.0006110060430748522	0.3505	False	121	63	29	49	20
Glis3	mean Allen log2 expression	-0.016257934445987887	-0.029961684898934627	-0.005623842892117667	8.639977744743383	8.462719017080179	8.819277751804485	8.640054463213806	8.460211284944968	8.825170597577827	True	8.639901026272963	8.45965407742396	8.820208060194162	True	True	-0.016257934445987887	-0.029961684898934627	-0.005623842892117667	0.0005	False	121	63	29	49	20
