population	gene_symbol	n_libraries	mean_log2_expression	median_log2_expression	mean_detection_fraction
Olfactory-bulb GABA, immature proxy	Camk2b	28	2.7300145064995776	2.9822182346629846	0.3253641875007176
Olfactory-bulb GABA, immature proxy	Cfl1	28	2.274537015370011	1.6453495328801302	0.2703888522217031
Olfactory-bulb GABA, immature proxy	Cntn5	28	3.603520020585315	4.154778814594866	0.3648407120579137
Olfactory-bulb GABA, immature proxy	Dcc	28	3.517001543658005	3.302576748100365	0.3489798485440811
Olfactory-bulb GABA, immature proxy	Dcx	28	7.769832019884521	8.133720595535173	0.8203830262999469
Olfactory-bulb GABA, immature proxy	Dkk3	28	0.21502902976238056	0.1263307485859243	0.025580385912635416
Olfactory-bulb GABA, immature proxy	Dll1	28	0.17253499460950397	0.15207753168175447	0.021475439213504446
Olfactory-bulb GABA, immature proxy	Dpysl2	28	5.69825291981152	5.785043429363093	0.6468071179953532
Olfactory-bulb GABA, immature proxy	Dpysl3	28	5.924500528886788	6.0376161345881805	0.6503844624147772
Olfactory-bulb GABA, immature proxy	Emx2	28	0.06408371429903854	0.0	0.007448044171674239
Olfactory-bulb GABA, immature proxy	En1	28	0.0	0.0	0.0
Olfactory-bulb GABA, immature proxy	En2	28	0.0032625928718668	0.0	0.00036818851251840714
Olfactory-bulb GABA, immature proxy	Eomes	28	0.024985911622412545	0.0	0.0030479284393147427
Olfactory-bulb GABA, immature proxy	Gabra2	28	4.231904616588191	4.8625170921603456	0.4561526227789548
Olfactory-bulb GABA, immature proxy	Gabrb3	28	7.8559769333985665	8.189953786241635	0.7956578934203478
Olfactory-bulb GABA, immature proxy	Gap43	28	2.040266052682762	2.2652316034167796	0.2429472639228441
Olfactory-bulb GABA, immature proxy	Gfap	28	0.11828924352540364	0.03638896346308685	0.014012225326396571
Olfactory-bulb GABA, immature proxy	Gli1	28	0.008939928296354718	0.0	0.0010470389450634178
Olfactory-bulb GABA, immature proxy	Gli2	28	0.17279038333529947	0.03587436637783735	0.020045319662305505
Olfactory-bulb GABA, immature proxy	Glis3	28	0.07176894772652778	0.04511549216008555	0.008500397226580322
Olfactory-bulb GABA, immature proxy	Gpm6a	28	7.84802536951693	7.970341166405857	0.8214389215200101
Olfactory-bulb GABA, immature proxy	Grin2b	28	8.71760425675807	9.641468908838487	0.8197343606315034
Olfactory-bulb GABA, immature proxy	Hes1	28	0.044982248575068905	0.035812179598969	0.005349996682783233
Olfactory-bulb GABA, immature proxy	Hes5	28	0.13046286525056836	0.0518809602525979	0.015428584748116562
Olfactory-bulb GABA, immature proxy	Id1	28	0.10885174355506237	0.039496594901769	0.01272913267432555
Olfactory-bulb GABA, immature proxy	Id2	28	0.6343835717683801	0.5772018303866503	0.07647232581114281
Olfactory-bulb GABA, immature proxy	Jag1	28	0.3639034300133545	0.3665147934827201	0.04507059599660547
Olfactory-bulb GABA, immature proxy	Kcnd2	28	5.885439872753786	6.715553623939725	0.5619173454945832
Olfactory-bulb GABA, immature proxy	Kcnj3	28	4.651994841510576	5.4181672205057225	0.4915324276411683
Olfactory-bulb GABA, immature proxy	Kcnj6	28	0.36175401545974545	0.3678073213780894	0.04468437656648429
Olfactory-bulb GABA, immature proxy	Kcnk1	28	0.43904134185650173	0.40411098617918	0.05538525027688112
Olfactory-bulb GABA, immature proxy	L1cam	28	0.6726203506844973	0.7033455064743919	0.08225189696899482
Olfactory-bulb GABA, immature proxy	Lef1	28	0.05459890905297261	0.032329371535992996	0.006145568931210147
Olfactory-bulb GABA, immature proxy	Lhx2	28	0.12842232363353262	0.01231346832921135	0.014811790036393435
Olfactory-bulb GABA, immature proxy	Map1b	28	7.2668928508155926	7.476035163634883	0.7784890595278385
Olfactory-bulb GABA, immature proxy	Meis1	28	5.138291819829741	5.491899356188756	0.5621271938713194
Olfactory-bulb GABA, immature proxy	Mycn	28	0.7942425685604739	0.807549594001284	0.0967146516098349
Olfactory-bulb GABA, immature proxy	Ncam1	28	10.397198412074323	10.554600223157202	0.9701909750380794
Olfactory-bulb GABA, immature proxy	Nes	28	0.052422217470579735	0.0107791405960806	0.006221546102024646
Olfactory-bulb GABA, immature proxy	Neurod1	28	0.023499667890696678	0.0	0.002649013530412386
Olfactory-bulb GABA, immature proxy	Neurod2	28	0.004578799189975222	0.0	0.0005214687087170571
Olfactory-bulb GABA, immature proxy	Nfia	28	4.309510851629877	3.125476628267239	0.43533735594189416
Olfactory-bulb GABA, immature proxy	Nfib	28	9.747082202968143	9.482294577918541	0.9274742678176571
Olfactory-bulb GABA, immature proxy	Notch1	28	0.34683195853178467	0.13854976610914455	0.040262445838240075
Olfactory-bulb GABA, immature proxy	Notch2	28	1.4346142867066125	1.5610729758057236	0.17357662338706512
Olfactory-bulb GABA, immature proxy	Nrp1	28	0.14750990508385184	0.108874522882786	0.017736266078882314
Olfactory-bulb GABA, immature proxy	Nrxn1	28	10.924649227013603	11.304183398880422	0.9569383948352854
