dataset	sample	source_group	specificity_role	mechanism_axis	mechanism_axis_label	n_present_axis_genes	n_cells	median_axis_score	mean_axis_score	within_sample_axis_rank
GSE122357	P8a	Granule cells	cerebellar_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	1367	0.17328679513998632	0.2252040223193043	0.625
GSE122357	P8a	Granule precursor	cerebellar_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	3254	0.27465307216702745	0.2916778494172753	0.875
GSE122357	P8a	Purkinje cells	purkinje_comparator	axon_guidance_adhesion	Axon guidance/adhesion	4	86	0.6404954974254073	0.6429063851513293	1.0
GSE122357	P8a	Microglia	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	102	0.0	0.023784462078037336	0.25
GSE122357	P8a	Interneuron	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	570	0.17328679513998632	0.24732617423419992	0.625
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	173	0.17328679513998632	0.13361190739847745	0.625
GSE122357	P8a	Astrocytes	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	292	0.0	0.08101240939768964	0.25
GSE122357	P8a	Endothelial cells	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	8	0.0	0.04332169878499658	0.25
GSE122357	P8a	Granule cells	cerebellar_granule	synaptic_excitability_maturation	Synaptic/excitability	12	1367	0.3226000842423242	0.33614007950121066	0.875
GSE122357	P8a	Granule precursor	cerebellar_granule	synaptic_excitability_maturation	Synaptic/excitability	12	3254	0.20707555414900003	0.22775468893921047	0.75
GSE122357	P8a	Purkinje cells	purkinje_comparator	synaptic_excitability_maturation	Synaptic/excitability	12	86	0.34657359027997264	0.33620053696396235	1.0
GSE122357	P8a	Microglia	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	102	0.057762265046662105	0.07352258066818736	0.125
GSE122357	P8a	Interneuron	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	570	0.09155102405567582	0.1021399496048816	0.3125
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	173	0.17328679513998632	0.18635349095309797	0.625
GSE122357	P8a	Astrocytes	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	292	0.11552453009332421	0.1357478664180502	0.5
GSE122357	P8a	Endothelial cells	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	8	0.09155102405567582	0.07888023942729568	0.3125
GSE122357	P8b	Granule precursor	cerebellar_granule	developmental_regulatory_control	Developmental regulatory	7	4309	0.9248415280503249	0.941924903157949	0.875
GSE122357	P8b	Granule cells	cerebellar_granule	developmental_regulatory_control	Developmental regulatory	7	1883	0.8284418077800753	0.8438380915255791	0.75
GSE122357	P8b	Interneuron	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	828	0.9502202609165221	0.9731157578505112	1.0
GSE122357	P8b	Astrocytes	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	512	0.7079611230132361	0.7170410489400422	0.625
GSE122357	P8b	Purkinje cells	purkinje_comparator	developmental_regulatory_control	Developmental regulatory	7	78	0.29706307738283366	0.30655547859312865	0.375
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	238	0.4540076900497065	0.5274451002261406	0.5
GSE122357	P8b	Microglia	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	123	0.19804205158855578	0.32233604704943947	0.125
GSE122357	P8b	Endothelial cells	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	18	0.2429426701187254	0.3119139197215542	0.25
GSE122357	P8b	Granule precursor	cerebellar_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	4309	1.6127838600018687	1.613774264290398	0.75
GSE122357	P8b	Granule cells	cerebellar_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	1883	1.781505408068861	1.7774979200809828	0.875
