audit_scope	contrast_id	expression_layer	dataset	core_branch	branch_kind	sample	source_layer	expression_scope	target_class	background_classes	candidate_median_downstream_construction_balance	background_median_downstream_construction_balance	delta_downstream_construction_balance	candidate_median_regional_fate_balance	background_median_regional_fate_balance	delta_regional_fate_balance	candidate_median_configuration_score	background_median_configuration_score	delta_configuration_score	configuration_positive	driver_class	construction_positive	fate_positive	driver_notes
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|26|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	26	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666667	0.0833333333333333	-0.25	0.3333333333333333	-0.0416666666666666	0.375	0.1666666666666666	0.0416666666666666	0.1249999999999999	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|27|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	27	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666667	0.0833333333333333	-0.25	0.1666666666666667	-0.0833333333333333	0.2500000000000001	0.0	-2.7755575615628914e-17	2.7755575615628914e-17	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|28|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	28	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1666666666666667	-0.1666666666666666	0.3333333333333333	0.3333333333333333	-0.1666666666666666	0.5	0.5000000000000001	-0.3333333333333333	0.8333333333333335	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|29|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	29	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	2.7755575615628914e-17	-0.1666666666666666	0.1666666666666667	-0.0833333333333333	0.2500000000000001	1.1102230246251563e-16	-0.0833333333333333	0.0833333333333334	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|30|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	30	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	0.0	0.0	0.1666666666666667	-0.1666666666666666	0.3333333333333333	0.1666666666666667	-0.1666666666666666	0.3333333333333333	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|31|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	31	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1666666666666667	-0.0833333333333333	0.25	0.3333333333333333	-0.1666666666666666	0.5	0.5000000000000001	-0.2499999999999999	0.7500000000000001	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|32|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	32	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	2.7755575615628914e-17	-2.7755575615628914e-17	0.3333333333333333	-0.0833333333333333	0.4166666666666667	0.3333333333333333	-0.0833333333333332	0.4166666666666666	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|33|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	33	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.3333333333333333	0.1666666666666666	-0.5	0.0	0.0833333333333333	-0.0833333333333333	-0.3333333333333333	0.25	-0.5833333333333334	False	configuration_not_positive	False	False	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|34|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	34	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.3333333333333333	0.1666666666666666	-0.5	0.1666666666666667	-0.1666666666666666	0.3333333333333333	-0.1666666666666666	2.7755575615628914e-17	-0.1666666666666666	False	configuration_not_positive	False	True	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|35|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	35	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1666666666666667	-0.1666666666666666	0.3333333333333333	0.3333333333333333	-0.1666666666666666	0.5	0.5000000000000001	-0.3333333333333333	0.8333333333333335	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|36|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	36	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1666666666666667	-0.1666666666666666	0.3333333333333333	0.1666666666666667	-0.1249999999999999	0.2916666666666667	0.3333333333333335	-0.2916666666666666	0.6250000000000001	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|37|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	37	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0833333333333333	-0.0416666666666666	0.125	0.3333333333333333	-0.1666666666666666	0.5	0.4166666666666667	-0.2083333333333333	0.625	True	both_components_positive	True	True	construction and regional fate both support the configuration
