dataset	region	axis_type	comparison_group	transition_id	transition_label	metric_type	metric_id	metric_label	start_label	end_label	start_score	end_score	delta_end_minus_start	direction
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_1hr	Immature to mature, 1 hr	pathway	tgf_beta_smad	TGF-beta/SMAD	immature_1hr	mature_1hr	0.4375	0.5625	0.125	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_1hr	Immature to mature, 1 hr	signature	differentiation_stop_index	Differentiation/stop signaling	immature_1hr	mature_1hr	0.4375	0.5125	0.07499999999999996	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_1hr	Immature to mature, 1 hr	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	immature_1hr	mature_1hr	0.4791666666666667	0.4791666666666667	0.0	unchanged
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_1hr	Immature to mature, 1 hr	signature	stop_minus_permissive_index	Stop minus permissive balance	immature_1hr	mature_1hr	-0.041666666666666685	0.03333333333333327	0.07499999999999996	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_1hr	Immature to mature, 1 hr	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	immature_1hr	mature_1hr	0.40625	0.53125	0.125	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_4hr	Immature to mature, 4 hr	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	immature_4hr	mature_4hr	0.625	0.8125	0.1875	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_4hr	Immature to mature, 4 hr	pathway	notch_hes	Notch/HES	immature_4hr	mature_4hr	0.5625	0.8125	0.25	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_4hr	Immature to mature, 4 hr	pathway	shh_granule_expansion	SHH/PTCH/GLI	immature_4hr	mature_4hr	0.59375	0.5625	-0.03125	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_4hr	Immature to mature, 4 hr	pathway	tgf_beta_smad	TGF-beta/SMAD	immature_4hr	mature_4hr	0.5625	0.5625	0.0	unchanged
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_4hr	Immature to mature, 4 hr	signature	differentiation_stop_index	Differentiation/stop signaling	immature_4hr	mature_4hr	0.65	0.725	0.07499999999999996	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_4hr	Immature to mature, 4 hr	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	immature_4hr	mature_4hr	0.625	0.6458333333333334	0.02083333333333337	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_4hr	Immature to mature, 4 hr	signature	stop_minus_permissive_index	Stop minus permissive balance	immature_4hr	mature_4hr	0.025000000000000022	0.07916666666666661	0.054166666666666585	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_to_mature_4hr	Immature to mature, 4 hr	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	immature_4hr	mature_4hr	0.59375	0.6875	0.09375	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_1hr	Mature activity, 1 hr	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	mature_1hr	matureactive_1hr	0.5	0.4375	-0.0625	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_1hr	Mature activity, 1 hr	pathway	notch_hes	Notch/HES	mature_1hr	matureactive_1hr	0.5	0.375	-0.125	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_1hr	Mature activity, 1 hr	pathway	shh_granule_expansion	SHH/PTCH/GLI	mature_1hr	matureactive_1hr	0.53125	0.5	-0.03125	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_1hr	Mature activity, 1 hr	pathway	tgf_beta_smad	TGF-beta/SMAD	mature_1hr	matureactive_1hr	0.5625	0.4375	-0.125	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_1hr	Mature activity, 1 hr	signature	differentiation_stop_index	Differentiation/stop signaling	mature_1hr	matureactive_1hr	0.5125	0.3625	-0.14999999999999997	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_1hr	Mature activity, 1 hr	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	mature_1hr	matureactive_1hr	0.4791666666666667	0.4375	-0.041666666666666685	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_1hr	Mature activity, 1 hr	signature	stop_minus_permissive_index	Stop minus permissive balance	mature_1hr	matureactive_1hr	0.03333333333333327	-0.07500000000000001	-0.10833333333333328	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_1hr	Mature activity, 1 hr	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	mature_1hr	matureactive_1hr	0.53125	0.4375	-0.09375	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_4hr	Mature activity, 4 hr	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	mature_4hr	matureactive_4hr	0.8125	0.6875	-0.125	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_4hr	Mature activity, 4 hr	pathway	notch_hes	Notch/HES	mature_4hr	matureactive_4hr	0.8125	0.75	-0.0625	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_4hr	Mature activity, 4 hr	pathway	shh_granule_expansion	SHH/PTCH/GLI	mature_4hr	matureactive_4hr	0.5625	0.53125	-0.03125	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_4hr	Mature activity, 4 hr	pathway	tgf_beta_smad	TGF-beta/SMAD	mature_4hr	matureactive_4hr	0.5625	0.5	-0.0625	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_4hr	Mature activity, 4 hr	signature	differentiation_stop_index	Differentiation/stop signaling	mature_4hr	matureactive_4hr	0.725	0.6625	-0.0625	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_4hr	Mature activity, 4 hr	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	mature_4hr	matureactive_4hr	0.6458333333333334	0.6875	0.04166666666666663	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_4hr	Mature activity, 4 hr	signature	stop_minus_permissive_index	Stop minus permissive balance	mature_4hr	matureactive_4hr	0.07916666666666661	-0.025000000000000022	-0.10416666666666663	decreased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	mature_activity_4hr	Mature activity, 4 hr	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	mature_4hr	matureactive_4hr	0.6875	0.59375	-0.09375	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	p5_to_p28_all	P5 to P28 all DG cells	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	P5	P28	0.6	0.2	-0.39999999999999997	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	p5_to_p28_all	P5 to P28 all DG cells	pathway	notch_hes	Notch/HES	P5	P28	0.6	0.2	-0.39999999999999997	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	p5_to_p28_all	P5 to P28 all DG cells	pathway	shh_granule_expansion	SHH/PTCH/GLI	P5	P28	0.3	0.6	0.3	increased
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	p5_to_p28_all	P5 to P28 all DG cells	pathway	tgf_beta_smad	TGF-beta/SMAD	P5	P28	0.9	0.2	-0.7	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	p5_to_p28_all	P5 to P28 all DG cells	signature	differentiation_stop_index	Differentiation/stop signaling	P5	P28	0.7799999999999999	0.2	-0.5799999999999998	decreased
