comparator	feature_type	model_term_supported	target_set	peak_category	broad_n_donors	broad_mean_delta_score	broad_median_delta_score	broad_mean_delta_detection	broad_median_delta_detection	cluster_supported_n_donors	cluster_supported_mean_delta_score	cluster_supported_median_delta_score	cluster_supported_mean_delta_detection	cluster_supported_median_delta_detection	delta_shift_strict_minus_broad	detection_shift_strict_minus_broad	concordance_class	robust_rank_score	robust_detection_score
oligodendrocyte_candidate	Gene Expression	FatePolarity	cerebellar_fate_rhombic_lip_shh	gene_expression_or_marker	3.0	0.4053916743059991	0.3653227481139486	0.1645675080488178	0.1560249824376536	3.0	0.7012299449920257	0.6525134979425884	0.2485501508683605	0.2456591028019599	0.29583827068602664	0.08398264281954268	robust_positive_strong	0.4053916743059991	0.1645675080488178
astrocyte_bergmann_candidate	Peaks	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_body_overlap	3.0	0.4045506820733405	0.3946698865111563	0.125374805442374	0.1216517857142857	3.0	0.7496909928608114	0.7008766907285019	0.2298380567544059	0.2344173441734417	0.3451403107874709	0.10446325131203191	robust_positive_strong	0.4045506820733405	0.125374805442374
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	dentate_fate_wnt_prox1	proximal_10kb	3.0	0.402669123936217	0.3996402677698903	0.1350435978911986	0.1323550090664448	3.0	0.6965775340564798	0.7227594693961537	0.2332643523503047	0.2489723910734537	0.2939084101202628	0.09822075445910611	robust_positive_strong	0.402669123936217	0.1350435978911986
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	medial_pallium_dentate_lineage	proximal_10kb	3.0	0.402669123936217	0.3996402677698903	0.1350435978911986	0.1323550090664448	3.0	0.6965775340564798	0.7227594693961537	0.2332643523503047	0.2489723910734537	0.2939084101202628	0.09822075445910611	robust_positive_strong	0.402669123936217	0.1350435978911986
astrocyte_bergmann_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	proximal_10kb	3.0	0.402669123936217	0.3996402677698903	0.1350435978911986	0.1323550090664448	3.0	0.6965775340564798	0.7227594693961537	0.2332643523503047	0.2489723910734537	0.2939084101202628	0.09822075445910611	robust_positive_strong	0.402669123936217	0.1350435978911986
astrocyte_bergmann_candidate	Peaks	FatePolarity	cerebellar_fate_rhombic_lip_shh	gene_body_overlap	3.0	0.3977993157017097	0.3864047860484332	0.1269908708107903	0.1214931648438629	3.0	0.7465293915688885	0.7194478705440432	0.2351341301096527	0.2527716186252772	0.34873007586717886	0.1081432592988624	robust_positive_strong	0.3977993157017097	0.1269908708107903
astrocyte_bergmann_candidate	Peaks	ConstructionBalance	Tier 5 exploratory non-identical ortholog	gene_body_overlap	3.0	0.3749154262802998	0.3416626352899782	0.1162105661189401	0.1073945933468715	3.0	0.7130941692323671	0.6531753518975245	0.2150942849545407	0.2270929466051417	0.33817874295206735	0.0988837188356006	robust_positive_strong	0.3749154262802998	0.1162105661189401
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	downstream_neurite_morphology	gene_edge_2kb	3.0	0.3710282896142027	0.3540928907998532	0.1243034252621526	0.1184108014491874	3.0	0.6849987597198277	0.6626279982303609	0.2258795198394844	0.2324904439870626	0.313970470105625	0.1015760945773318	robust_positive_strong	0.3710282896142027	0.1243034252621526
astrocyte_bergmann_candidate	Peaks	ConstructionBalance	downstream_neurite_synapse_construction	gene_edge_2kb	3.0	0.3627480218853102	0.3459250531632863	0.1217405921466009	0.1151651616634638	3.0	0.66926709216419	0.6680719458837279	0.2243776477980853	0.2209854244549922	0.3065190702788798	0.1026370556514844	robust_positive_strong	0.3627480218853102	0.1217405921466009
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	downstream_neurite_synapse_construction	gene_edge_2kb	3.0	0.3627480218853102	0.3459250531632863	0.1217405921466009	0.1151651616634638	3.0	0.66926709216419	0.6680719458837279	0.2243776477980853	0.2209854244549922	0.3065190702788798	0.1026370556514844	robust_positive_strong	0.3627480218853102	0.1217405921466009
